ID	IG011	IG012	IG013	IG014	IG015	IG016	IG017	IG018	IG019	IG020	IG021	IG022	IG023	IG024	IG025	IG026	IG027	IG028	IG029	IG030	IG031	IG033	IG034	IG035	IG036	IG037	IG038	IG039	IG040	IG041	IG042	IG044	IG045	IG046	IG047	IG048	IG049	IG051	IG052	IG054	IG055	IG056	IG057	IG058	IG059	IG060	IG061	IG062	IG063	IG064	IG065	IG066	IG067	IG068	IG069	IG070	IG072	IG073	IG074	IG075	IG076	IG077	IG078	IG079	IG080	IG081	IG082	IG083	IG084	IG085	IG087	IG089	IG090	IG091	IG092	IG093	IG094	IG095	IG096	IG099	IG101	IG102	IG103	IG104	IG105	IG106	IG107	IG108	IG110	IG111	IG112	IG113	IG114	IG116	IG118	IG119	IG120
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.95615	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.55062	100.0	100.0	100.0	100.0	100.0	98.99033	100.0	99.95924	99.29315	100.0	99.71106	100.0	100.0	100.0	99.84053	98.77075	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.24487	100.0	100.0	100.0	99.93007	100.0	99.08963	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Actinomycetota	72.4352	7.22744	13.16834	35.44415	34.4823	15.01394	38.59874	1.36734	12.87722	20.0996	26.60959	26.10645	37.83162	23.00116	16.55212	1.67264	11.31978	3.5859	19.08207	30.53321	12.57737	61.61921	31.58136	76.40179	38.61846	5.14982	9.72284	18.16779	3.98097	17.08397	26.79677	36.51334	4.4721	56.04321	77.64081	4.04617	31.62638	8.04031	38.31036	30.40258	11.74671	6.97849	38.64935	53.7171	11.90246	21.10302	9.38588	23.6898	13.33339	66.43209	9.67137	33.47362	18.07496	48.14217	20.73646	11.56584	14.04098	22.43197	39.37073	10.52923	14.77739	18.87118	9.23815	9.02338	20.2046	61.76128	36.72241	40.21746	12.38987	14.75759	6.42666	45.9347	20.06161	25.14569	38.42712	40.59529	18.12403	34.32136	4.36938	5.62415	16.39475	12.01901	7.98351	8.72512	1.05963	9.50223	3.49775	5.0118	29.73594	13.77005	14.41925	4.00267	16.21629	0.08632	0.68738	28.16147	1.67943
k__Bacteria|p__Pseudomonadota	26.18623	83.86122	79.91582	32.64449	63.79396	82.4005	54.61169	21.48264	70.1368	78.26993	69.25956	50.85531	56.04141	74.46316	78.66827	95.94909	85.10673	92.9646	56.85424	56.73745	81.1694	30.4838	65.56564	21.30402	57.32626	13.8891	87.14039	73.93632	91.91421	77.6285	70.44828	63.10441	64.59374	38.27685	19.7711	71.50655	65.54048	89.06054	56.14622	64.22304	81.42576	91.86989	53.03051	43.05873	42.55431	72.86974	81.06886	73.50053	36.14369	29.00185	54.68247	54.91665	59.2484	39.76936	65.02693	80.67257	81.85884	70.52331	52.26313	88.41463	71.96693	78.58429	83.96811	74.49847	32.81913	35.11454	47.26608	54.97387	74.80279	69.81403	92.61061	32.15774	78.86456	70.04368	58.3174	46.47673	77.43936	55.44388	92.88711	35.29754	82.7719	75.03292	74.08582	73.31802	96.46016	88.89036	73.27291	67.52027	66.32366	70.3873	54.43389	89.26375	58.77986	99.52941	99.18655	59.03242	8.4422
k__Bacteria|p__Bacteroidota	0.95027	8.61033	0.36944	0.22245	0.0	2.41736	3.42271	4.60341	0.21992	0.56155	1.99672	0.94409	2.56512	0.85449	0.62416	0.87097	2.03479	1.20089	2.76498	6.35137	5.50484	3.23902	1.32359	0.87077	1.20016	2.32323	1.67644	5.83415	1.44252	1.09213	0.08829	0.38225	30.78269	0.28027	0.29883	0.254	1.18839	0.91343	0.95002	1.0387	3.93738	0.09036	5.81061	0.31526	0.80693	1.30274	2.79823	1.47507	2.75449	2.93399	1.03411	0.18129	0.0	0.81221	12.23848	6.42257	0.60357	2.63283	6.19087	0.78528	2.4291	0.48565	0.1183	13.35217	6.1756	0.77317	0.44401	0.35355	8.99556	12.97725	0.11666	0.22073	0.49793	4.33642	1.83893	2.01128	0.8586	3.36854	2.21758	0.17565	0.23629	0.0	0.06651	0.65329	2.1141	1.60741	1.53224	0.01056	1.56033	0.7626	0.05282	6.43889	3.61503	0.1582	0.0	6.32332	0.08661
k__Bacteria|p__Planctomycetota	0.20111	0.21027	0.15546	0.0	0.0	0.0	1.67667	0.0	0.83979	0.60711	0.63598	0.05374	0.05255	0.20468	0.35158	0.2941	0.0	1.62294	0.46051	0.03924	0.00209	0.9714	0.15998	0.03681	0.53166	0.12531	0.0	1.22461	0.0	1.44243	0.02024	0.0	0.01483	0.0	0.17749	0.0	0.32992	0.02558	0.17609	0.30885	0.0	0.0	1.80843	0.16023	0.21923	0.3832	1.03953	0.38421	0.00444	0.88479	0.0063	5.19711	0.0	1.06067	1.62013	1.12855	0.00441	0.14547	0.0	0.2682	0.02351	0.40949	0.03253	0.27718	0.06573	0.0	0.08934	0.02883	0.59728	0.86083	0.10939	0.0	0.06327	0.0	0.0	0.21145	0.0	1.19698	0.0	0.06376	0.0	0.0	0.74191	0.68802	0.0	0.0	0.0	0.0	0.0	0.0	0.206	0.03791	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.13031	0.02286	5.97616	0.0	0.0	0.16819	0.0	72.54662	5.52174	0.1909	0.25744	20.10465	2.432	0.0	3.13923	1.21319	1.45777	0.62567	20.8382	6.04053	0.38451	0.05999	1.31792	0.86361	0.81009	0.0	0.0	0.41096	2.5788	0.0499	1.46631	0.0	0.13663	5.26214	0.0	24.19328	0.10422	1.92542	3.54772	0.0	1.80366	0.08865	0.2355	0.0	0.0	0.0	0.08336	0.95039	47.66301	0.0	34.60576	2.36335	22.67664	8.751	0.37799	0.0	2.47891	1.01274	0.18451	0.0	0.60843	1.64939	0.01143	0.58709	0.77825	1.67889	0.0	3.96322	1.25649	0.0	0.68411	21.34952	0.28933	0.0	1.41654	9.12461	3.49804	0.2664	0.49959	58.8389	0.59706	3.81883	0.3234	12.3458	0.36134	0.0	21.45983	25.31748	2.36856	12.69171	0.0	0.0	4.99985	0.0	0.0	5.28465	0.0
k__Bacteria|p__Myxococcota	0.09688	0.0	0.22644	31.66437	1.72375	0.0	1.69018	0.0	0.20488	0.08361	0.97986	1.93576	1.05389	0.65228	0.42382	0.0	0.08093	0.0	0.0	0.22544	0.3618	3.58272	0.0	0.523	1.49557	0.3307	1.46033	0.42618	0.0	0.10278	0.73073	0.0	0.0	0.13329	2.11177	0.0	0.14818	0.03472	0.82883	0.14168	1.08649	0.0	0.44096	0.0	0.49779	1.74814	0.82823	0.0	0.00302	0.04997	0.0	3.33599	0.0	1.46458	0.0	0.21047	0.10074	1.80138	1.87094	0.0	0.19441	0.0	0.0	1.50212	1.05901	0.0	14.14105	0.41034	1.95801	1.5903	0.0	0.33731	0.22331	0.47421	0.0	1.53073	0.07998	1.77523	0.00674	0.0	0.0	0.0	0.16027	3.11057	0.0	0.0	0.23727	2.13989	0.01151	0.14998	30.88804	0.0	12.57447	0.22607	0.12607	0.0	0.01042
k__Bacteria|p__Actinomycetota|c__Actinomycetes	72.4352	6.41507	11.17133	35.44415	33.35889	9.9651	36.12986	1.36734	12.76589	20.00689	26.30683	26.04719	34.6395	15.47188	13.87312	1.67264	10.37785	2.58141	18.95862	29.26899	12.57737	55.25846	31.39258	75.86914	36.62053	5.00075	7.96097	16.62987	1.84404	10.31636	23.51924	4.70928	4.41919	55.38881	11.14822	3.02703	27.27298	7.74396	38.08354	28.25124	11.74081	5.25276	38.56554	52.4463	5.83515	18.44296	8.52791	22.29583	12.69135	65.76618	9.67137	33.41422	18.07496	48.14217	20.68303	11.47227	10.22954	22.43197	39.322	3.83261	14.72954	18.49001	9.22937	9.02338	20.2046	61.76128	36.46562	39.7139	12.31811	14.74851	2.33273	45.86256	19.84186	24.86792	38.06196	40.48804	18.12403	33.99868	4.27996	5.62415	16.39475	12.01901	7.98351	7.92226	1.03715	9.50223	3.49775	2.91364	27.22729	13.54624	14.41925	4.00267	16.21629	0.08632	0.68738	28.16147	1.6625
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	21.31816	79.06227	72.50663	32.64449	43.36545	55.26601	43.39581	13.80886	66.01764	41.58776	68.0344	50.30847	23.20832	68.56456	66.77633	93.46025	30.88816	86.72669	56.37979	30.67655	34.07973	24.16177	54.22805	10.45717	55.17222	10.47249	83.33439	51.15391	17.57129	24.67485	53.81153	53.4178	33.98447	30.6393	8.35634	71.1816	45.97194	76.68429	40.59162	58.98643	40.72228	5.72475	27.71719	31.11323	42.31015	44.42182	72.92989	68.63504	23.44691	19.21862	53.0896	46.83922	51.40952	35.08956	58.53516	76.6466	23.35628	30.37898	30.15913	28.76762	48.64231	68.51039	81.33531	72.85506	19.98805	29.74451	31.62277	45.83154	55.99302	43.55543	87.05595	12.20391	47.47746	53.19597	47.62461	41.76825	74.24863	53.87516	77.78328	29.8474	66.52627	70.88903	64.20682	54.72015	40.36028	76.23062	65.64212	57.32511	48.94844	58.688	28.52455	38.58097	53.05573	2.6964	0.0	58.72333	8.4422
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	4.36077	2.96313	4.9514	0.0	0.69161	7.1499	4.20279	1.34703	1.23652	4.96742	1.22515	0.14193	3.02043	1.9369	4.68256	0.0	2.12768	5.9549	0.47445	0.45521	2.07304	1.67699	0.24081	0.09969	0.37268	2.16662	1.15047	4.14299	60.69921	45.68659	2.11348	4.60371	1.79648	0.34962	1.97307	0.0	7.45256	7.03668	2.18927	4.80999	5.94933	0.88926	5.20919	2.36107	0.0	3.85036	2.8675	3.87457	0.00928	5.34926	0.03989	0.63667	1.50693	4.47358	3.60635	4.02598	57.75204	40.14433	16.51581	16.37263	5.16879	4.16391	0.02997	1.39899	4.10895	0.0	11.13753	3.13802	2.02041	8.70753	1.55753	0.08439	0.59513	2.6233	2.00541	0.53964	0.10471	1.55663	11.02847	0.0	2.68963	2.01134	9.87901	1.84243	55.28808	1.01543	0.09507	0.28153	0.0	0.11319	25.33547	3.75947	0.43058	0.44132	0.0	0.30909	0.0
