ID	IG011	IG047	IG070	IG078	IG085	IG063	IG083	IG052	IG103	IG017	IG040	IG030	IG042	IG057	IG082	IG096	IG069	IG114	IG107	IG101	IG081	IG077	IG075	IG074	IG059	IG058	IG056	IG054	IG049	IG046	IG038	IG020	IG014
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	99.66245	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.46766	100	100	100	100
k__Bacteria|p__Actinobacteria	63.09553	16.37576	9.25755	30.02172	4.97744	9.03397	6.59733	20.95442	21.33466	22.89096	1.88751	31.72976	12.22078	12.86993	19.71394	7.78915	4.24511	4.54761	1.07998	9.88375	60.13299	17.30337	5.89032	37.15789	3.37847	58.84147	4.40482	24.73757	9.38556	33.09372	1.01123	11.31917	9.41986
k__Bacteria|p__Proteobacteria	35.79985	81.43739	89.91376	69.6922	84.93481	83.37425	92.51983	77.67767	71.97672	71.44542	96.77681	66.20535	87.32852	82.2686	75.07422	89.40609	82.71367	83.73655	97.1477	89.82235	39.21835	81.25896	93.13225	56.60716	27.25868	40.29142	94.69749	69.55162	87.9443	66.43703	97.69289	87.61368	90.48255
k__Bacteria|p__Bacteroidetes	0.8941	0	0.41687	0.11239	9.9502	7.48428	0.60203	1.36791	1.24071	4.88417	1.21108	1.89681	0.11314	4.76348	0.59897	2.78611	12.61486	4.05907	1.77232	0.2939	0.64588	0.65927	0.90701	6.07575	1.51004	0.42783	0.11723	2.60686	1.7394	0.44971	1.29588	0.88264	0.09759
k__Bacteria|p__Planctomycetes	0.21052	2.18684	0.41181	0.054	0	0.082	0.06561	0	0.16615	0.77944	0	0.08057	0	0	0.14025	0.01864	0	0	0	0	0	0.7784	0.07042	0.0422	0.49157	0.31265	0	0.45889	0.22678	0	0	0.04886	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	63.09553	16.37576	9.06316	30.02172	4.97744	9.03397	6.35751	20.83898	21.33466	22.89096	1.31068	31.6178	11.77979	12.80151	19.65541	7.60836	4.12412	4.54761	0.99748	9.88375	60.13299	17.30337	3.21552	37.06163	3.37847	58.84147	4.36098	24.4245	5.28677	33.05143	1.01123	11.3129	9.41986
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	33.91974	53.80239	84.67084	69.67092	52.46412	61.66778	80.88576	62.54578	61.53137	55.20118	6.98807	34.24835	70.43034	62.30217	49.89629	81.70263	68.10587	79.4021	92.3482	73.79321	34.80284	74.08616	34.71042	43.69176	21.09591	24.99516	5.35549	64.18524	56.28946	63.98094	34.48942	46.29579	75.55894
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.76799	17.18393	4.99413	0.02128	6.2775	4.36593	3.57475	3.11747	10.44535	10.78897	68.07154	0.18176	2.71392	3.1144	19.62889	1.87934	11.39322	0.01018	4.41359	1.0448	0	5.72212	19.88398	6.4764	4.97055	2.7381	0.683	4.72668	15.68249	0.47481	6.25394	4.06064	0.60309
k__Bacteria|p__Bacteroidetes|c__Cytophagia	0.8941	0	0.1454	0.11239	0.6679	5.99599	0.22336	0.18336	1.24071	2.12952	0	0.34833	0.09769	3.91131	0.59897	0.3841	1.32353	0	0.70865	0.2939	0.11636	0.65927	0.07887	6.07575	1.51004	0.42783	0.01536	2.55649	0.29282	0.44971	1.00842	0.09083	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia	0.21052	2.18684	0.41181	0.054	0	0.082	0.06561	0	0.16615	0.77944	0	0.08057	0	0	0.14025	0.01864	0	0	0	0	0	0.7784	0.07042	0.0422	0.49157	0.31265	0	0.45889	0.22678	0	0	0.04886	0
