IG046,IG046_S32_L002_R1_001.fastq.gz,IG046_S32_L002_R2_001.fastq.gz
IG101,IG101_S82_L002_R1_001.fastq.gz,IG101_S82_L002_R2_001.fastq.gz
IG096,IG096_S79_L002_R1_001.fastq.gz,IG096_S79_L002_R2_001.fastq.gz
IG013,IG013_S3_L002_R1_001.fastq.gz,IG013_S3_L002_R2_001.fastq.gz
IG022,IG022_S10_L002_R1_001.fastq.gz,IG022_S10_L002_R2_001.fastq.gz
IG023,IG023_S11_L002_R1_001.fastq.gz,IG023_S11_L002_R2_001.fastq.gz
IG024,IG024_S12_L002_R1_001.fastq.gz,IG024_S12_L002_R2_001.fastq.gz
IG107,IG107_S87_L002_R1_001.fastq.gz,IG107_S87_L002_R2_001.fastq.gz
IG108,IG108_S88_L002_R1_001.fastq.gz,IG108_S88_L002_R2_001.fastq.gz
IG114,IG114_S2_L006_R1_001.fastq.gz,IG114_S2_L006_R2_001.fastq.gz
IG116,IG116_S4_L006_R1_001.fastq.gz,IG116_S4_L006_R2_001.fastq.gz
IG118,IG118_S6_L006_R1_001.fastq.gz,IG118_S6_L006_R2_001.fastq.gz
IG054,IG054_S39_L002_R1_001.fastq.gz,IG054_S39_L002_R2_001.fastq.gz
IG056,IG056_S41_L002_R1_001.fastq.gz,IG056_S41_L002_R2_001.fastq.gz
IG057,IG057_S42_L002_R1_001.fastq.gz,IG057_S42_L002_R2_001.fastq.gz
IG058,IG058_S43_L002_R1_001.fastq.gz,IG058_S43_L002_R2_001.fastq.gz
IG059,IG059_S44_L002_R1_001.fastq.gz,IG059_S44_L002_R2_001.fastq.gz
IG042,IG042_S29_L002_R1_001.fastq.gz,IG042_S29_L002_R2_001.fastq.gz
IG074,IG074_S59_L002_R1_001.fastq.gz,IG074_S59_L002_R2_001.fastq.gz
IG075,IG075_S60_L002_R1_001.fastq.gz,IG075_S60_L002_R2_001.fastq.gz
IG081,IG081_S66_L002_R1_001.fastq.gz,IG081_S66_L002_R2_001.fastq.gz
