Sample_ID,region,Batch,sample_name,organism,sex,latitude,longitude,collection_date,library_prep_method,run1_read1,run1_read2
IG046,centralcal,1,FF340_ext_IG046,Calasterella californica,female,37.94286,-122.64694,4/7/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG046_S32_L002_R1_001.fastq.gz,IG046_S32_L002_R2_001.fastq.gz
IG096,centralcal,1,IGR162_ext_IG096,Calasterella californica,not-determined,35.1088333,-120.0752,1/31/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG096_S79_L002_R1_001.fastq.gz,IG096_S79_L002_R2_001.fastq.gz
IG013,centralcal,1,IGR167_ext_IG013,Calasterella californica,female,37.8910333,-121.99918,2/14/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG013_S3_L002_R1_001.fastq.gz,IG013_S3_L002_R2_001.fastq.gz
IG022,centralcal,1,IGR169_ext_IG022,Calasterella californica,male,37.8862667,-121.9932,2/14/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG022_S10_L002_R1_001.fastq.gz,IG022_S10_L002_R2_001.fastq.gz
IG023,centralcal,1,IGR170_ext_IG023,Calasterella californica,not-determined,37.9346167,-122.11523,2/15/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG023_S11_L002_R1_001.fastq.gz,IG023_S11_L002_R2_001.fastq.gz
IG024,centralcal,1,IGR171_ext_IG024,Calasterella californica,male,37.9547167,-122.1396,2/16/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG024_S12_L002_R1_001.fastq.gz,IG024_S12_L002_R2_001.fastq.gz
IG107,centralcal,1,IGR258_ext_IG107,Calasterella californica,female,37.915278,-121.9475,2/6/2022,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG107_S87_L002_R1_001.fastq.gz,IG107_S87_L002_R2_001.fastq.gz
IG108,centralcal,1,IGR259_ext_IG108,Calasterella californica,female,37.90707,-121.94952,2/6/2022,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG108_S88_L002_R1_001.fastq.gz,IG108_S88_L002_R2_001.fastq.gz
IG114,centralcal,1,IGR285_ext_IG114,Calasterella californica,not-determined,37.201944,-121.376944,4/8/2023,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG114_S2_L006_R1_001.fastq.gz,IG114_S2_L006_R2_001.fastq.gz
IG116,centralcal,1,McL1220_ext_IG116,Calasterella californica,not-determined,37.248889,-121.357778,4/1/2022,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG116_S4_L006_R1_001.fastq.gz,IG116_S4_L006_R2_001.fastq.gz
IG118,centralcal,1,McL1028_ext_IG118,Calasterella californica,not-determined,37.09702,-121.3834,3/12/2022,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG118_S6_L006_R1_001.fastq.gz,IG118_S6_L006_R2_001.fastq.gz
IG054,desert,1,IGR212_ext_IG054,Calasterella californica,male,33.04584,-116.43847,4/24/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG054_S39_L002_R1_001.fastq.gz,IG054_S39_L002_R2_001.fastq.gz
IG056,desert,1,IGR214_ext_IG056,Calasterella californica,not-determined,33.24238,-116.42376,4/24/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG056_S41_L002_R1_001.fastq.gz,IG056_S41_L002_R2_001.fastq.gz
IG057,desert,1,IGR215_ext_IG057,Calasterella californica,female,33.23648,-116.44297,4/24/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG057_S42_L002_R1_001.fastq.gz,IG057_S42_L002_R2_001.fastq.gz
IG058,desert,1,IGR216_ext_IG058,Calasterella californica,not-determined,33.23648,-116.44297,4/24/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG058_S43_L002_R1_001.fastq.gz,IG058_S43_L002_R2_001.fastq.gz
IG059,desert,1,IGR217_ext_IG059,Calasterella californica,not-determined,33.27844,-116.43058,4/24/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG059_S44_L002_R1_001.fastq.gz,IG059_S44_L002_R2_001.fastq.gz
IG042,northcal,1,IGR203_ext_IG042,Calasterella californica,female,39.01742,-122.81048,3/25/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG042_S29_L002_R1_001.fastq.gz,IG042_S29_L002_R2_001.fastq.gz
IG074,northcal,1,IGR235_ext_IG074,Calasterella californica,not-determined,39.36833,-123.36819,5/1/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG074_S59_L002_R1_001.fastq.gz,IG074_S59_L002_R2_001.fastq.gz
IG075,northcal,1,IGR237_ext_IG075,Calasterella californica,female,39.36343,-123.41087,5/1/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG075_S60_L002_R1_001.fastq.gz,IG075_S60_L002_R2_001.fastq.gz
IG081,northcal,1,IGR246_ext_IG081,Calasterella californica,male,40.88955,-123.60063,5/15/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG081_S66_L002_R1_001.fastq.gz,IG081_S66_L002_R2_001.fastq.gz
IG082,northcal,1,IGR247_ext_IG082,Calasterella californica,not-determined,40.85484,-123.48461,5/15/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG082_S67_L002_R1_001.fastq.gz,IG082_S67_L002_R2_001.fastq.gz
IG083,northcal,1,IGR248_ext_IG083,Calasterella californica,female,40.76234,-123.28562,5/15/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG083_S68_L002_R1_001.fastq.gz,IG083_S68_L002_R2_001.fastq.gz
IG011,northcal,1,IGR249_ext_IG011,Calasterella californica,not-determined,40.77171,-123.12917,5/16/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG011_S1_L002_R1_001.fastq.gz,IG011_S1_L002_R2_001.fastq.gz
IG025,northcal,1,IGR172_ext_IG025,Calasterella californica,female,37.9556683,-122.1399,2/17/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG025_S13_L002_R1_001.fastq.gz,IG025_S13_L002_R2_001.fastq.gz
IG103,peninsular ranges,1,IGR173_ext_IG103,Calasterella californica,female,33.60021,-117.50813,2/20/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG103_S83_L002_R1_001.fastq.gz,IG103_S83_L002_R2_001.fastq.gz
IG104,peninsular ranges,1,IGR174_ext_IG104,Calasterella californica,not-determined,33.60092,-117.51035,2/20/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG104_S84_L002_R1_001.fastq.gz,IG104_S84_L002_R2_001.fastq.gz
IG105,peninsular ranges,1,IGR175_ext_IG105,Calasterella californica,not-determined,33.60984,-117.42995,2/20/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG105_S85_L002_R1_001.fastq.gz,IG105_S85_L002_R2_001.fastq.gz
IG014,peninsular ranges,1,IGR176_ext_IG014,Calasterella californica,male,33.66291,-117.40418,2/20/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG014_S1_L004_R1_001.fastq.gz,IG014_S1_L004_R2_001.fastq.gz
IG017,peninsular ranges,1,IGR179_ext_IG017,Calasterella californica,female,32.67966,-116.52902,2/21/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG017_S6_L002_R1_001.fastq.gz,IG017_S6_L002_R2_001.fastq.gz
IG026,peninsular ranges,1,IGR181_ext_IG026,Calasterella californica,male,32.99345,-116.75747,2/21/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG026_S14_L002_R1_001.fastq.gz,IG026_S14_L002_R2_001.fastq.gz
IG106,peninsular ranges,1,IGR182_ext_IG106,Calasterella californica,not-determined,33.12284,-116.79305,2/22/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG106_S86_L002_R1_001.fastq.gz,IG106_S86_L002_R2_001.fastq.gz
IG027,peninsular ranges,1,IGR183_ext_IG027,Calasterella californica,female,33.45579,-116.97228,2/22/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG027_S15_L002_R1_001.fastq.gz,IG027_S15_L002_R2_001.fastq.gz
