Sample,Geographic_region,Batch,Full sample name,sex,latitude,longitude,collection_date
IG046,Centralcal,1,FF340_ext_IG046,female,37.94286,-122.64694,4/7/2021
IG096,Centralcal,1,IGR162_ext_IG096,not-determined,35.1088333,-120.0752,1/31/2021
IG013,Centralcal,1,IGR167_ext_IG013,female,37.8910333,-121.99918,2/14/2021
IG022,Centralcal,1,IGR169_ext_IG022,male,37.8862667,-121.9932,2/14/2021
IG023,Centralcal,1,IGR170_ext_IG023,not-determined,37.9346167,-122.11523,2/15/2021
IG024,Centralcal,1,IGR171_ext_IG024,male,37.9547167,-122.1396,2/16/2021
IG107,Centralcal,1,IGR258_ext_IG107,female,37.915278,-121.9475,2/6/2022
IG108,Centralcal,1,IGR259_ext_IG108,female,37.90707,-121.94952,2/6/2022
IG114,Centralcal,1,IGR285_ext_IG114,not-determined,37.201944,-121.376944,4/8/2023
IG116,Centralcal,1,McL1220_ext_IG116,not-determined,37.248889,-121.357778,4/1/2022
IG118,Centralcal,1,McL1028_ext_IG118,not-determined,37.09702,-121.3834,3/12/2022
IG025,Centralcal,1,IGR172_ext_IG025,female,37.9556683,-122.1399,2/17/2021
IG054,Desert,1,IGR212_ext_IG054,male,33.04584,-116.43847,4/24/2021
IG056,Desert,1,IGR214_ext_IG056,not-determined,33.24238,-116.42376,4/24/2021
IG057,Desert,1,IGR215_ext_IG057,female,33.23648,-116.44297,4/24/2021
IG058,Desert,1,IGR216_ext_IG058,not-determined,33.23648,-116.44297,4/24/2021
IG059,Desert,1,IGR217_ext_IG059,not-determined,33.27844,-116.43058,4/24/2021
IG042,Northcal,1,IGR203_ext_IG042,female,39.01742,-122.81048,3/25/2021
IG074,Northcal,1,IGR235_ext_IG074,not-determined,39.36833,-123.36819,5/1/2021
IG075,Northcal,1,IGR237_ext_IG075,female,39.36343,-123.41087,5/1/2021
IG081,Northcal,1,IGR246_ext_IG081,male,40.88955,-123.60063,5/15/2021
IG082,Northcal,1,IGR247_ext_IG082,not-determined,40.85484,-123.48461,5/15/2021
IG083,Northcal,1,IGR248_ext_IG083,female,40.76234,-123.28562,5/15/2021
IG011,Northcal,1,IGR249_ext_IG011,not-determined,40.77171,-123.12917,5/16/2021
IG103,Peninsular ranges,1,IGR173_ext_IG103,female,33.60021,-117.50813,2/20/2021
IG104,Peninsular ranges,1,IGR174_ext_IG104,not-determined,33.60092,-117.51035,2/20/2021
IG105,Peninsular ranges,1,IGR175_ext_IG105,not-determined,33.60984,-117.42995,2/20/2021
IG014,Peninsular ranges,1,IGR176_ext_IG014,male,33.66291,-117.40418,2/20/2021
IG017,Peninsular ranges,1,IGR179_ext_IG017,female,32.67966,-116.52902,2/21/2021
IG026,Peninsular ranges,1,IGR181_ext_IG026,male,32.99345,-116.75747,2/21/2021
IG106,Peninsular ranges,1,IGR182_ext_IG106,not-determined,33.12284,-116.79305,2/22/2021
IG027,Peninsular ranges,1,IGR183_ext_IG027,female,33.45579,-116.97228,2/22/2021
