"Factor","Df","F value","Pr(>F)","Eta2_partial","Measure","P_adj_FDR"
"Geographic_region",6,0.997795130101479,0.432426561454873,0.109694372379735,"Shannon",0.629411846518594
"year",2,4.35203347766531,0.0159446165464756,0.115003701567718,"Shannon",0.0956676992788534
"month",5,1.34101510010852,0.255223195582793,0.074745776235393,"Shannon",0.510446391165585
"Geographic_region",6,1.09063677814341,0.374887624353879,0.125625419180892,"Simpson",0.629411846518594
"year",2,6.16916578924189,0.00317788086743541,0.177723178711878,"Simpson",0.0381345704092249
"month",5,2.3431575010797,0.0484136518243181,0.123694136046018,"Simpson",0.145240955472954
"Geographic_region",6,0.536497668688712,0.779034555412669,0.0647233992042936,"InvSimpson",0.779034555412669
"year",2,0.718851727762577,0.490320105507481,0.0179932343374571,"InvSimpson",0.629411846518594
"month",5,0.789119147108023,0.560467865592414,0.0453800529188541,"InvSimpson",0.629411846518594
"Geographic_region",6,0.794359578131717,0.576960859308711,0.0704963763973342,"Pielou",0.629411846518594
"year",2,3.44311940731291,0.0365992925604362,0.108647255182522,"Pielou",0.145240955472954
"month",5,2.03878859372443,0.0815375927519815,0.109384179313611,"Pielou",0.195690222604755
