"","IG046","IG096","IG013","IG022","IG023","IG024","IG107","IG108","IG114","IG116","IG118","IG025","IG054","IG056","IG057","IG058","IG059","IG042","IG074","IG075","IG081","IG082","IG083","IG011","IG103","IG104","IG105","IG014","IG017","IG026","IG106","IG027","IG019","IG020","IG029","IG030","IG033","IG036","IG038","IG039","IG040","IG041","IG047","IG077","IG012","IG078","IG080","IG085","IG084","IG070","IG101","IG060","IG061","IG062","IG063","IG064","IG065","IG067","IG068","IG069","IG045","IG102","IG021","IG113","IG119","IG120","IG055","IG072","IG073","IG015","IG016","IG018","IG051","IG052","IG037","IG028","IG031","IG110","IG034","IG035","IG099","IG044","IG076","IG079","IG111","IG087","IG089","IG090","IG091","IG092","IG093","IG094","IG095","IG048","IG049","IG112","IG066"
"IG046",0,0.80829520958524,0.74687246203087,0.8470351,0.768534553706911,0.783874578387458,0.804348290217415,0.833940166788034,0.726539958980994,0.9274236,0.934898296744915,0.734487186724359,0.99982419994726,0.99353559935356,0.9866317,0.985556499277825,0.99065670093433,0.764167076416708,0.95847280207636,0.9507665,0.649120835087916,0.906937086040563,0.910276782055357,0.94498829449883,0.977762498888125,0.92876460356177,0.97155220142239,0.995921899796095,0.595962579798129,0.93098100345095,0.9059351,0.939356290903443,0.83731959186598,0.682225352333803,0.6964227,0.9111098,0.650184182509209,0.931873093187309,0.96862979843149,0.762398323760168,0.95312519765626,0.959622391924479,0.979819298990965,0.894690089469009,0.8336061,0.94827420517258,0.971392495708874,0.9760975,0.92132099606605,0.810327881032788,0.878880093944005,0.9261629926163,0.80181807027271,0.771483522851648,0.672932216353389,0.307810165390508,0.743975561596334,0.708537,0.866892480033872,0.79323458966173,0.878607893930395,0.8566091,0.966633691658423,0.99970679997068,0.912962391296239,0.978324301083785,0.97119959855998,0.928854,0.96151899807595,0.7515519875776,0.781874989093749,0.8582623,0.8860103,0.459277818891673,0.99182109836422,0.805700929144861,0.74285815142837,0.570167778508389,0.525897828884674,0.370418868520943,0.738576686928834,0.809007471351121,0.932742906725709,0.9818619,0.668729583436479,0.788157768223665,0.862238493111925,0.734606513269675,0.7869828,0.7426828,0.8762205,0.93265679663284,0.969126898456345,0.91530579576529,0.91974072006482,0.936220387244077,0.883168094158405
"IG096",0.80829520958524,0,0.6277603,0.720123441981484,0.773613688680684,0.752716612364169,0.728044427195557,0.84976299248815,0.7018483,0.972773104084034,0.99865710013429,0.767472023252798,0.99552059932809,0.956857102157145,0.897473015379047,0.861427313857269,0.960648209837947,0.715954114202294,0.869409326118135,0.910888313366753,0.945873513531622,0.8536155,0.858014692900734,0.93776560311172,0.850157514984249,0.906927718614457,0.920811215837757,0.900701909929809,0.731194826880517,0.866756026648795,0.845977823103327,0.8171575,0.759915624008438,0.8286958,0.689517846572323,0.79697633045355,0.847481615251838,0.743783512810825,0.840117715988229,0.655751686062078,0.877062912293709,0.91076759553838,0.99364050063595,0.593968520301574,0.629291755606237,0.732719466820133,0.9274036,0.917503712374443,0.817298018270198,0.721646113917694,0.713479628652037,0.793015010349249,0.755968,0.624297893925527,0.774169345166131,0.816434818356518,0.7320903,0.687378546893218,0.8424511,0.714112128588787,0.839627716037229,0.792029231195615,0.829990982999098,0.86719900664005,0.851129207443539,0.964398307120339,0.765251523474848,0.846532523020122,0.853118914688109,0.600572339942766,0.786269321373068,0.940100508984924,0.826599226010116,0.794372,0.92641559632078,0.77191516842545,0.664310017491494,0.781511021848898,0.705770600000001,0.879360612063939,0.711894828810517,0.8507363,0.778671155332211,0.875472918679062,0.669703033029696,0.8021969,0.924815507518449,0.774894145021171,0.679007748148837,0.776987433451885,0.777823033326545,0.669159933084007,0.728068427193157,0.865080313491969,0.81218147512741,0.87113659355683,0.889461611053839
"IG013",0.74687246203087,0.6277603,0,0.585574679278734,0.774820243705061,0.452900217935033,0.665507466550746,0.68593632148408,0.75086525017305,0.99049539952477,0.99186549918655,0.465187146518715,0.970311289608951,0.953073592961039,0.92483639624182,0.878372387837238,0.902086104895695,0.695733754360063,0.7336612,0.83776519188826,0.924988003750599,0.74600224920045,0.69055332263833,0.933646590046989,0.826716382671638,0.7698552,0.9232691,0.98238409823841,0.626930362693036,0.7926205,0.776341688817085,0.878423675684736,0.689813068981307,0.724469244893849,0.474906173745309,0.635054381752719,0.858057785805779,0.76596366489455,0.782134578213458,0.620305218984739,0.869998786999879,0.853438963359741,0.99455719945572,0.680561152084173,0.685752084287604,0.90516140474193,0.910453582090717,0.94502379725119,0.861660386166039,0.55205073280761,0.856722785672279,0.809939071490861,0.49594419918884,0.430611928469404,0.7196334,0.778348577834858,0.609024221804844,0.521288076064404,0.700743540148708,0.668398966839896,0.826958082695809,0.640704082035204,0.632235189670557,0.981988297298245,0.675999651399948,0.9573013,0.928654192865419,0.773487288674365,0.743985374398538,0.782913078291308,0.494086749408675,0.82398959119948,0.714384985719249,0.774875154975031,0.902656275664069,0.508108649189135,0.718081442287784,0.539246553924656,0.634551326910265,0.837273083727308,0.596421959642196,0.625950825190165,0.790512710474365,0.97640579882029,0.455096445509644,0.74678594935719,0.828735982873598,0.6056406,0.649193782459689,0.592099679604984,0.650206182510309,0.649357164935716,0.782732978273298,0.721582572158257,0.601608279678344,0.858644364661091,0.832136683213668
"IG022",0.8470351,0.720123441981484,0.585574679278734,0,0.792084379208438,0.70293,0.403106629844669,0.563319256331925,0.829231891461595,0.98477430152257,0.989183700540815,0.829841608507919,0.966613793322759,0.9395574,0.873292712670728,0.86031640698418,0.955948008810398,0.6735576,0.602496759625486,0.830565716943429,0.941644911671017,0.697117984855899,0.685883468588347,0.8060877,0.705449614727519,0.616543657518452,0.906347714047843,0.94859100257045,0.7263880136806,0.7700093344986,0.699914930008507,0.768234288411714,0.625138818743059,0.86869519343476,0.574119042588096,0.550031744996826,0.783104910844754,0.6370912,0.643626617818669,0.793074341385132,0.932136503393175,0.806618680661868,0.993518300324085,0.5816844,0.672171732782827,0.901652019669596,0.89297959464898,0.872640312735969,0.877207906139605,0.8181201,0.88721040563948,0.6865949,0.753968787698439,0.691315461736908,0.607946358808046,0.8281660085917,0.459234072961704,0.567692443230756,0.623437381171869,0.609124019543799,0.7825920108704,0.539741946025805,0.621356043203407,0.9794461,0.7380536,0.961434605784809,0.926704703664765,0.738684926131507,0.731490513425474,0.81521280923936,0.856511907174405,0.691980630801937,0.641550335844966,0.8523019926151,0.900811990081199,0.852424136893966,0.838984148304755,0.854044507297775,0.81558679077934,0.825083308745834,0.583173120841344,0.93100899655045,0.699022060195588,0.96521390347861,0.600279319986034,0.78576178928809,0.661348616932569,0.801603029759546,0.639763636023636,0.578733442126656,0.510360448963955,0.633710518314474,0.738432313078384,0.543269522836524,0.661967218311474,0.770632277063228,0.642840217857989
"IG023",0.768534553706911,0.773613688680684,0.774820243705061,0.792084379208438,0,0.796840459368091,0.862213979332097,0.880780164234049,0.789718547429637,0.98545419854542,0.984804297720645,0.690838653625798,0.969908987963595,0.9811324962265,0.728723072872307,0.920063588009538,0.9615767,0.607479621495924,0.90463059523153,0.92732539273254,0.8652339,0.636614609153653,0.693060907918272,0.973626094725219,0.944685891702884,0.872585393629269,0.95333579766679,0.98978259846739,0.601831940274791,0.942539097126955,0.93594959359496,0.620798005199501,0.814006772101015,0.751325237831309,0.737259873725987,0.880043888004389,0.724895358734303,0.680007236001447,0.883813382572007,0.6838693,0.869534380430157,0.906160871848262,0.97464699619705,0.880576176115235,0.807549180754918,0.9482446,0.902321775580444,0.918350291835029,0.834102675115401,0.834137266827453,0.908050086207513,0.77616145523229,0.798964949741237,0.7615797,0.760153488007674,0.683951452592718,0.77288064322016,0.717301071730107,0.831590457897614,0.668104350215652,0.671856150778422,0.795059679505968,0.789590326356614,0.983233296646659,0.75720005144001,0.97235859861793,0.947585292137794,0.853781885378188,0.936268790440319,0.55680373352056,0.664828349724252,0.94838889483889,0.907153690715369,0.744819036204759,0.927443978233193,0.797418710129064,0.726360927363907,0.704627255694088,0.721514630378657,0.824695773704366,0.78053326707999,0.873484468371117,0.807838,0.9778829977883,0.79560766934115,0.854644863661216,0.703576155536423,0.676966983848349,0.705823270582327,0.671932367193237,0.707474770747477,0.861780579267087,0.741762161264324,0.936908890536333,0.609025358646196,0.918654775596433,0.678746951812042
"IG024",0.783874578387458,0.752716612364169,0.452900217935033,0.70293,0.796840459368091,0,0.81609559080478,0.854157170831434,0.841618876242831,0.9927839,0.99433519971676,0.346829667341484,0.994364098309229,0.98641619864162,0.9490016,0.96264579813229,0.910618108938189,0.763766776376678,0.753232312338385,0.8179033,0.95825080417492,0.809783671467551,0.859050771810154,0.862062086206209,0.949301497465075,0.9621620018919,0.95230080238496,0.99262259963113,0.687370384368519,0.931214503439275,0.9310457,0.912848986927348,0.84243439212172,0.77759566663935,0.6139903,0.7307497,0.95266839763342,0.839637383963738,0.848665492433275,0.758576324142368,0.93901919695096,0.822779964555993,0.90477279523864,0.856829585682958,0.8058149,0.951499904850009,0.979576296936444,0.9639834,0.861003893050195,0.408957240895724,0.940204697010235,0.899778489977849,0.502991125448669,0.602237039776296,0.83127660843617,0.873641093682055,0.727209059081359,0.6477437,0.835212275281841,0.734884986744249,0.79438718971936,0.8047362,0.858213364553341,0.99559589955959,0.870811487081149,0.96157560192122,0.98773219938661,0.852869,0.8366879918344,0.860942093047105,0.553025977651299,0.8928445,0.8630376,0.835307375296106,0.960427692085538,0.453383181992523,0.76076284784743,0.588798179439909,0.77947626692144,0.94086679704334,0.734231186711559,0.463410919511638,0.951705204829479,0.9848754,0.616048680802434,0.758574163786125,0.9421279971064,0.700975914951204,0.7416131,0.7845173,0.8112906,0.877089693854485,0.92223439611172,0.86893779344689,0.805489648627588,0.923094784618957,0.937468296873415
"IG107",0.804348290217415,0.728044427195557,0.665507466550746,0.403106629844669,0.862213979332097,0.81609559080478,0,0.396120409418061,0.780686378068638,0.89538880523056,0.9165082,0.8410711,0.972916493229123,0.966440498322025,0.91941900402905,0.8864847,0.953726706940994,0.645186082259304,0.696441630355837,0.790597510470125,0.945906408114039,0.755024875502488,0.659508248926237,0.933300896665045,0.8285682,0.708187329181267,0.902638009736199,0.9682579,0.7979681,0.779334022066598,0.716301714184915,0.763365876336588,0.6938881,0.903735490373549,0.568537121573144,0.673885116305744,0.8685853,0.78949718947486,0.7449588,0.807380628892906,0.9451927,0.850593377589007,1,0.593094279654714,0.650250217487489,0.841161223825817,0.898142089814209,0.93355120332244,0.8789285,0.842975492148775,0.7478173,0.764940888247044,0.783114578311458,0.649123452631482,0.535079646492036,0.8641262,0.532142153214215,0.540007322999634,0.668151766815176,0.7536029,0.7350011,0.525319823734009,0.619128623825725,0.933327096666355,0.747984287399214,0.95633520436648,0.9005408,0.77189541140523,0.7385598,0.8287598,0.8553946,0.615783819210809,0.614687619265619,0.880965288096529,0.911449686717453,0.877733224453355,0.77219275695181,0.8895511,0.780971678097168,0.810608,0.6533245,0.947635194763519,0.749319237602115,0.92707960364602,0.5384625,0.805615080561508,0.6143701,0.777315622268438,0.555690722215464,0.557061222146939,0.550923222453839,0.5862415,0.8214602,0.458693,0.621097713670686,0.788815668322351,0.7232297
"IG108",0.833940166788034,0.84976299248815,0.68593632148408,0.563319256331925,0.880780164234049,0.854157170831434,0.396120409418061,0,0.857567864391967,0.894437589443759,0.892729183909378,0.854465578169836,0.971976588790635,0.979893595978719,0.96192079619208,0.944916791737519,0.9535941,0.608795721759144,0.704315285215764,0.735310573531058,0.9472399,0.787626446906611,0.605341781602534,0.976822995364599,0.940052991007949,0.803056690152835,0.960865898043295,0.943984591597689,0.884684482702673,0.799852789992639,0.797745379774538,0.92276828069207,0.856661378499207,0.930751882687971,0.568496956849696,0.746561974656197,0.875800581370088,0.840324768064954,0.866833280024992,0.8438489,0.951141492671224,0.946881884064565,1,0.734706046941209,0.837350783735078,0.889266,0.944584886146221,0.96758209675821,0.873826881074032,0.932552586510517,0.737421360613204,0.850491470098294,0.897913074478269,0.710497,0.566227678311384,0.903157285473593,0.634053908513477,0.627927662792766,0.69229292307323,0.912267786840169,0.725087658763149,0.524506252450625,0.583264954142734,0.9846254969251,0.719224143844829,0.96156819807841,0.956694793504219,0.806912180691218,0.74699006204851,0.890851683627753,0.875047881257182,0.584166158416616,0.706273370627337,0.91308187827047,0.955336386600916,0.92878620356069,0.761940123805988,0.903907485586123,0.748461637115409,0.839548375932256,0.656836348525452,0.974384993596248,0.880932,0.97177719717772,0.585312237796835,0.937666784416696,0.599143439871516,0.774429088721455,0.569585256958526,0.649627564962757,0.633056363305636,0.587002438050366,0.919281387892208,0.276338891450834,0.664132650380102,0.935575480672644,0.828375074256261
"IG114",0.726539958980994,0.7018483,0.75086525017305,0.829231891461595,0.789718547429637,0.841618876242831,0.780686378068638,0.857567864391967,0,0.932813296640665,0.95281269528127,0.801477980147798,0.942537779888223,0.973226695984004,0.889103294455164,0.896839989683999,0.96788360160582,0.748238562235784,0.9368811,0.983404499170225,0.919563504021825,0.882162676432535,0.893316073329018,0.975598096339714,0.944442094444209,0.908533,0.966569,0.96870889687089,0.751941575194158,0.9727667,0.931725696586285,0.848355269671054,0.817606481760648,0.711502342300469,0.752539187626959,0.87723919386196,0.869374786937479,0.914858387228758,0.9562029956203,0.775367411231629,0.96967949696795,0.983330295832574,0.99806689980669,0.675622851343428,0.747566087378304,0.656052117197395,0.841553868310774,0.983619999181,0.95353259535326,0.719425157913774,0.575178657517865,0.900902585135388,0.793470658694132,0.725141413742929,0.7660359,0.770604977060498,0.74913154982631,0.615017180750859,0.834546166909233,0.806191280619128,0.917994491799449,0.841578692078935,0.955841686752506,0.77327826599174,0.900032685004903,0.9897515,0.701949770194977,0.91439759571988,0.96975239697524,0.635453763545376,0.805349380534938,0.9096879954844,0.91421299571065,0.765219153043831,0.976499394124849,0.831004916899508,0.77667713349843,0.758620875862088,0.725948245189649,0.866021886602189,0.752225475222548,0.850393370078674,0.82431780878411,0.840062292003115,0.741807674180767,0.832336866467373,0.867374486737449,0.747831,0.787267789363389,0.83248139162407,0.869708893485445,0.666179466617947,0.797933179793318,0.93548259354826,0.903230919353816,0.787483446870862,0.852072285207228
"IG116",0.9274236,0.972773104084034,0.99049539952477,0.98477430152257,0.98545419854542,0.9927839,0.89538880523056,0.894437589443759,0.932813296640665,0,0.0351200482439976,0.99285680035716,0.9996744999349,0.9865227,0.97689660231034,0.9763640011818,0.9976955004609,0.9534519,0.987796101830585,0.98885830111417,0.99516490096702,0.995925699796285,0.99293029929303,0.990246,0.989013100549345,0.99744160038376,0.995536900669465,0.992865500356725,0.978029701098515,0.989448701582695,0.94006510599349,0.961404698070235,0.994936700253165,0.983691299184565,0.99511750048825,0.98609980139002,0.956468902176555,0.9871066,0.997739300113035,0.982723103455379,0.999118900044055,0.99851049985105,0.999282900035855,0.9312577,0.954564104543589,0.949492110101578,0.96602659830133,0.98799780120022,0.99285680035716,0.970349,0.87155500642225,0.9716979,0.99112579955629,0.964296607140678,0.936149609577559,0.955634502218275,0.98416519920826,0.915568208443179,0.96910859845543,0.995281500235925,0.99498380025081,0.9745090025491,0.996460899469135,0.9769519,0.999836,0.996291700556245,0.97665620116719,0.9723480027652,0.99750240012488,0.967271301636435,0.99194160040292,0.936732506326749,0.945376005462399,0.99251539962577,0.998239999824,0.995117501220625,0.797717460684762,0.994958700252065,0.95417419770871,0.93799060310047,0.99504460024777,0.995281499764075,0.930047513990497,0.96649660335034,0.9300500034975,0.9836439991822,0.798588510070574,0.730091740486239,0.896197410380259,0.95576410442359,0.97120000288,0.9731540013423,0.97678820116059,0.99863040006848,0.994055102080714,0.96436329643633,0.943507902824605
