"","IG046","IG096","IG013","IG022","IG023","IG024","IG107","IG108","IG114","IG116","IG118","IG025","IG054","IG056","IG057","IG058","IG059","IG042","IG074","IG075","IG081","IG082","IG083","IG011","IG103","IG104","IG105","IG014","IG017","IG026","IG106","IG027","IG019","IG020","IG029","IG030","IG033","IG036","IG038","IG039","IG040","IG041","IG047","IG077","IG012","IG078","IG080","IG085","IG084","IG070","IG101","IG060","IG061","IG062","IG063","IG064","IG065","IG067","IG068","IG069","IG045","IG102","IG021","IG113","IG119","IG120","IG055","IG072","IG073","IG015","IG016","IG018","IG051","IG052","IG037","IG028","IG031","IG110","IG034","IG035","IG099","IG044","IG076","IG079","IG111","IG087","IG089","IG090","IG091","IG092","IG093","IG094","IG095","IG048","IG049","IG112","IG066"
"IG046",0,0.848484848484848,0.868421052631579,0.846153846153846,0.838709677419355,0.74,0.847826086956522,0.833333333333333,0.950617283950617,0.837837837837838,0.9375,0.764705882352941,0.989130434782609,0.947826086956522,0.93859649122807,0.917808219178082,0.884615384615385,0.879518072289157,0.844155844155844,0.8125,0.865671641791045,0.946236559139785,0.852631578947368,0.803921568627451,0.897959183673469,0.93421052631579,0.866666666666667,0.962264150943396,0.816901408450704,0.826086956521739,0.854545454545455,0.830769230769231,0.893333333333333,0.894736842105263,0.787234042553192,0.901960784313726,0.875,0.878787878787879,0.847826086956522,0.875,0.890625,0.903614457831325,0.947368421052632,0.875,0.855072463768116,0.904109589041096,0.91578947368421,0.91044776119403,0.851851851851852,0.865384615384615,0.8,0.925373134328358,0.915966386554622,0.830985915492958,0.783333333333333,0.859154929577465,0.808510638297872,0.884615384615385,0.779661016949152,0.830188679245283,0.708333333333333,0.822222222222222,0.847457627118644,0.981132075471698,0.88235294117647,0.933333333333333,0.928571428571429,0.86,0.918032786885246,0.833333333333333,0.74,0.833333333333333,0.838235294117647,0.829787234042553,0.924242424242424,0.883333333333333,0.83495145631068,0.849056603773585,0.83495145631068,0.816901408450704,0.787234042553192,0.914893617021277,0.927007299270073,0.928571428571429,0.8,0.833333333333333,0.877551020408163,0.857142857142857,0.808823529411765,0.854545454545455,0.857142857142857,0.854545454545455,0.89041095890411,0.833333333333333,0.885057471264368,0.862068965517241,0.9
"IG096",0.848484848484848,0,0.717948717948718,0.691176470588235,0.815533980582524,0.796875,0.711538461538462,0.793103448275862,0.912087912087912,0.903846153846154,0.933333333333333,0.833333333333333,0.971153846153846,0.846153846153846,0.884297520661157,0.865853658536585,0.8,0.83695652173913,0.829545454545454,0.888888888888889,0.91566265060241,0.912621359223301,0.794117647058823,0.790322580645161,0.785714285714286,0.82716049382716,0.738461538461538,0.85,0.804878048780488,0.763636363636364,0.777777777777778,0.695652173913044,0.802469135802469,0.870967741935484,0.775862068965517,0.714285714285714,0.84070796460177,0.798076923076923,0.803571428571429,0.822916666666667,0.819444444444444,0.870967741935484,0.972222222222222,0.696969696969697,0.708333333333333,0.712328767123288,0.885714285714286,0.87012987012987,0.793650793650794,0.783333333333333,0.786885245901639,0.82089552238806,0.874015748031496,0.772151898734177,0.739130434782609,0.869047619047619,0.679245283018868,0.736842105263158,0.753623188405797,0.711864406779661,0.865671641791045,0.824561403508772,0.71875,0.953846153846154,0.816666666666667,0.892857142857143,0.833333333333333,0.780952380952381,0.823529411764706,0.833333333333333,0.850746268656717,0.857142857142857,0.743243243243243,0.830188679245283,0.866666666666667,0.859154929577465,0.824561403508772,0.846153846153846,0.770642201834862,0.743589743589744,0.732142857142857,0.934426229508197,0.824817518248175,0.901234567901235,0.716049382716049,0.833333333333333,0.789473684210526,0.716417910447761,0.782051282051282,0.737704918032787,0.740740740740741,0.625,0.75,0.764705882352941,0.819148936170213,0.75,0.818181818181818
"IG013",0.868421052631579,0.717948717948718,0,0.68,0.777777777777778,0.681818181818182,0.737704918032787,0.787878787878788,0.931372549019608,0.919354838709677,0.964285714285714,0.698795180722892,0.973684210526316,0.858267716535433,0.917910447761194,0.855555555555556,0.828571428571429,0.83,0.744444444444444,0.837209302325581,0.901098901098901,0.85981308411215,0.733333333333333,0.768115942028985,0.818181818181818,0.75,0.73972602739726,0.887323943661972,0.786516853932584,0.78125,0.808219178082192,0.823529411764706,0.784090909090909,0.863636363636364,0.734375,0.704761904761905,0.815126050420168,0.714285714285714,0.833333333333333,0.77,0.79746835443038,0.838383838383838,0.962962962962963,0.702702702702703,0.7125,0.716049382716049,0.905172413793104,0.845238095238095,0.837837837837838,0.779411764705882,0.833333333333333,0.746268656716418,0.83206106870229,0.710843373493976,0.756410256410256,0.820224719101124,0.787878787878788,0.811594202898551,0.784810126582278,0.788732394366197,0.883116883116883,0.796875,0.647058823529412,0.973684210526316,0.826086956521739,0.892307692307692,0.878260869565217,0.767857142857143,0.767123287671233,0.841269841269841,0.791666666666667,0.9,0.773809523809524,0.803571428571429,0.79746835443038,0.753424657534246,0.789915966386555,0.866666666666667,0.690909090909091,0.597402597402597,0.734375,0.928571428571429,0.828767123287671,0.923913043478261,0.774193548387097,0.757142857142857,0.803030303030303,0.702702702702703,0.764705882352941,0.661538461538462,0.634146341463415,0.757142857142857,0.734939759036145,0.82258064516129,0.712765957446808,0.783783783783784,0.797619047619048
"IG022",0.846153846153846,0.691176470588235,0.68,0,0.801980198019802,0.733333333333333,0.653061224489796,0.767857142857143,0.886363636363636,0.833333333333333,0.931818181818182,0.845238095238095,0.95049504950495,0.834782608695652,0.883333333333333,0.82051282051282,0.873015873015873,0.752941176470588,0.657894736842105,0.873417721518987,0.914634146341463,0.819148936170213,0.71578947368421,0.766666666666667,0.711538461538462,0.794871794871795,0.808823529411765,0.827586206896552,0.817073170731707,0.781818181818182,0.754098360655738,0.746478873239437,0.647887323943662,0.811965811965812,0.793103448275862,0.737373737373737,0.725490196078431,0.747474747474748,0.754716981132076,0.769230769230769,0.88,0.893617021276596,0.957142857142857,0.671875,0.73972602739726,0.726027397260274,0.851485148514851,0.696969696969697,0.770491803278689,0.736842105263158,0.82258064516129,0.792307692307692,0.816666666666667,0.753246753246753,0.735294117647059,0.810126582278481,0.673076923076923,0.732142857142857,0.671875,0.660714285714286,0.846153846153846,0.8,0.714285714285714,0.953125,0.793103448275862,0.87037037037037,0.808080808080808,0.704081632653061,0.746031746031746,0.851851851851852,0.848484848484848,0.9,0.722222222222222,0.805825242718447,0.746268656716418,0.805970149253731,0.8125,0.84375,0.768518518518519,0.723684210526316,0.627450980392157,0.950819672131147,0.769230769230769,0.91358024691358,0.773809523809524,0.8125,0.666666666666667,0.629032258064516,0.763157894736842,0.733333333333333,0.597222222222222,0.642857142857143,0.657142857142857,0.807692307692308,0.791208791208791,0.725806451612903,0.714285714285714
"IG023",0.838709677419355,0.815533980582524,0.777777777777778,0.801980198019802,0,0.761363636363636,0.862068965517241,0.827586206896552,0.934959349593496,0.914634146341463,0.961038961038961,0.673469387755102,0.97037037037037,0.908496732026144,0.92258064516129,0.903508771929825,0.893617021276596,0.712962962962963,0.836206896551724,0.815533980582524,0.826923076923077,0.809917355371901,0.739837398373984,0.885416666666667,0.888888888888889,0.79047619047619,0.8125,0.936842105263158,0.737864077669903,0.876404494382023,0.864583333333333,0.85981308411215,0.805555555555556,0.797202797202797,0.829545454545454,0.82089552238806,0.765151515151515,0.723577235772358,0.887640449438202,0.669724770642202,0.864077669902913,0.818965517241379,0.95049504950495,0.854368932038835,0.831775700934579,0.833333333333333,0.888059701492537,0.844660194174757,0.863157894736842,0.846153846153846,0.835164835164835,0.75,0.784722222222222,0.683673469387755,0.760416666666667,0.778846153846154,0.866666666666667,0.869565217391304,0.795918367346939,0.838709677419355,0.786516853932584,0.835294117647059,0.8,0.969072164948454,0.816091954022989,0.853658536585366,0.913669064748201,0.796992481203007,0.891089108910891,0.869047619047619,0.827956989247312,0.91358024691358,0.75,0.689075630252101,0.818181818181818,0.730337078651685,0.692913385826772,0.770114942528736,0.703125,0.796296296296296,0.802325581395349,0.945652173913044,0.786163522012579,0.947826086956522,0.740740740740741,0.827956989247312,0.825581395348837,0.74468085106383,0.766990291262136,0.802197802197802,0.759259259259259,0.864583333333333,0.824074074074074,0.908045977011494,0.675925925925926,0.868686868686869,0.850467289719626
"IG024",0.74,0.796875,0.681818181818182,0.733333333333333,0.761363636363636,0,0.772727272727273,0.787234042553192,0.963855421686747,0.871794871794872,0.939393939393939,0.712121212121212,0.978260869565217,0.929824561403509,0.929824561403509,0.857142857142857,0.82,0.839506172839506,0.831168831168831,0.796875,0.915492957746479,0.887640449438202,0.804347826086956,0.807692307692308,0.75,0.811594202898551,0.767857142857143,0.923076923076923,0.768115942028985,0.75,0.814814814814815,0.815384615384615,0.782608695652174,0.876106194690265,0.711111111111111,0.835051546391753,0.854368932038835,0.821052631578947,0.714285714285714,0.850574712643678,0.838709677419355,0.805194805194805,0.890909090909091,0.76271186440678,0.75,0.842857142857143,0.927835051546392,0.825396825396825,0.74,0.723404255319149,0.87037037037037,0.84,0.859649122807018,0.707692307692308,0.724137931034483,0.811594202898551,0.760869565217391,0.82,0.741379310344828,0.6875,0.788461538461539,0.772727272727273,0.69811320754717,0.981481481481482,0.816326530612245,0.833333333333333,0.95049504950495,0.826530612244898,0.803571428571429,0.888888888888889,0.72,0.837837837837838,0.769230769230769,0.806451612903226,0.736842105263158,0.716981132075472,0.801980198019802,0.872727272727273,0.801980198019802,0.768115942028985,0.651162790697674,0.869565217391304,0.895522388059701,0.944444444444444,0.77027027027027,0.72,0.782608695652174,0.741379310344828,0.794117647058823,0.72,0.746478873239437,0.836363636363636,0.757575757575757,0.780487804878049,0.759493670886076,0.781818181818182,0.8
"IG107",0.847826086956522,0.711538461538462,0.737704918032787,0.653061224489796,0.862068965517241,0.772727272727273,0,0.657142857142857,0.914285714285714,0.785714285714286,0.863636363636364,0.846153846153846,0.975609756097561,0.912621359223301,0.943396226415094,0.888888888888889,0.86046511627907,0.833333333333333,0.787878787878788,0.864406779661017,0.901639344262295,0.927710843373494,0.823529411764706,0.761904761904762,0.783783783783784,0.819672131147541,0.770833333333333,0.82051282051282,0.863636363636364,0.75,0.826086956521739,0.759259259259259,0.806451612903226,0.906542056074766,0.736842105263158,0.842696629213483,0.863157894736842,0.853932584269663,0.777777777777778,0.81578947368421,0.872727272727273,0.876712328767123,1,0.74,0.727272727272727,0.754385964912281,0.894117647058823,0.836363636363636,0.767441860465116,0.68421052631579,0.785714285714286,0.875,0.846153846153846,0.786885245901639,0.745098039215686,0.892307692307692,0.657142857142857,0.710526315789474,0.74,0.738095238095238,0.822222222222222,0.705882352941176,0.717391304347826,0.928571428571429,0.8,0.818181818181818,0.883720930232558,0.820224719101124,0.787234042553192,0.787878787878788,0.851063829787234,0.862068965517241,0.813559322033898,0.877777777777778,0.851851851851852,0.84,0.878787878787879,0.869565217391304,0.86734693877551,0.770491803278689,0.736842105263158,0.923076923076923,0.85,0.88135593220339,0.808823529411765,0.8,0.722222222222222,0.74,0.779661016949152,0.744186046511628,0.765625,0.65,0.8,0.75,0.810810810810811,0.760869565217391,0.807017543859649
"IG108",0.833333333333333,0.793103448275862,0.787878787878788,0.767857142857143,0.827586206896552,0.787234042553192,0.657142857142857,0,0.917808219178082,0.878787878787879,0.88,0.818181818181818,0.964285714285714,0.915094339622642,0.925233644859813,0.893939393939394,0.844444444444444,0.824324324324324,0.761194029850746,0.923076923076923,0.939393939393939,0.930232558139535,0.842696629213483,0.804347826086956,0.8,0.80952380952381,0.807692307692308,0.86046511627907,0.885714285714286,0.736842105263158,0.787234042553192,0.813559322033898,0.815384615384615,0.878504672897196,0.785714285714286,0.835164835164835,0.855670103092784,0.846153846153846,0.825,0.8375,0.859649122807018,0.881578947368421,1,0.754716981132076,0.82258064516129,0.806451612903226,0.922222222222222,0.901639344262295,0.808510638297872,0.795454545454545,0.772727272727273,0.85,0.850467289719626,0.758064516129032,0.824561403508772,0.880597014925373,0.75,0.761904761904762,0.777777777777778,0.782608695652174,0.833333333333333,0.61764705882353,0.652173913043478,0.933333333333333,0.813953488372093,0.864864864864865,0.887640449438202,0.813186813186813,0.846153846153846,0.837837837837838,0.836734693877551,0.875,0.76271186440678,0.831460674157303,0.859649122807018,0.803921568627451,0.836734693877551,0.75,0.836734693877551,0.78125,0.75609756097561,0.953488372093023,0.872,0.921875,0.8,0.86,0.775,0.730769230769231,0.790322580645161,0.704545454545455,0.757575757575757,0.760869565217391,0.790322580645161,0.837837837837838,0.802631578947368,0.846153846153846,0.854838709677419
"IG114",0.950617283950617,0.912087912087912,0.931372549019608,0.886363636363636,0.934959349593496,0.963855421686747,0.914285714285714,0.917808219178082,0,0.918032786885246,0.963636363636364,0.961165048543689,0.905660377358491,0.948905109489051,0.909090909090909,0.948453608247423,0.961538461538461,0.91588785046729,0.891089108910891,0.957894736842105,0.912087912087912,0.965811965811966,0.918032786885246,0.95,0.9,0.96,0.929411764705882,0.869565217391304,0.919191919191919,0.959459459459459,0.938271604938272,0.9,0.95049504950495,0.862595419847328,0.947368421052632,0.865546218487395,0.89763779527559,0.936507936507936,0.972972972972973,0.890909090909091,0.955555555555556,0.963636363636364,0.98780487804878,0.908045977011494,0.891304347826087,0.927083333333333,0.833333333333333,0.945054945054945,0.9375,0.935064935064935,0.847222222222222,0.92258064516129,0.898550724637681,0.88421052631579,0.933333333333333,0.938775510204082,0.932432432432432,0.875,0.82716049382716,0.924050632911392,0.9375,0.944444444444444,0.954022988505747,0.867647058823529,0.947368421052632,0.971014492753623,0.87719298245614,0.912698412698413,0.965116279069767,0.892307692307692,0.938271604938272,0.968253968253968,0.948453608247423,0.91869918699187,0.978260869565217,0.953488372093023,0.891472868217054,0.88,0.924812030075188,0.919191919191919,0.918918918918919,0.972222222222222,0.859060402684564,0.833333333333333,0.923809523809524,0.938271604938272,0.931506849315069,0.88235294117647,0.927835051546392,0.938271604938272,0.922330097087379,0.897435897435897,0.916666666666667,0.956521739130435,0.928571428571429,0.927710843373494,0.91304347826087
"IG116",0.837837837837838,0.903846153846154,0.919354838709677,0.833333333333333,0.914634146341463,0.871794871794872,0.785714285714286,0.878787878787879,0.918032786885246,0,0.846153846153846,0.934426229508197,0.986301369863014,0.98,0.96969696969697,0.947368421052632,0.945945945945946,0.911764705882353,0.90625,0.88235294117647,0.924528301886792,0.974025974025974,0.928571428571429,0.864864864864865,0.90625,0.966666666666667,0.934782608695652,0.909090909090909,0.916666666666667,0.939393939393939,0.9,0.88235294117647,0.933333333333333,0.919191919191919,0.914285714285714,0.918604651162791,0.886363636363636,0.942528735632184,0.96969696969697,0.888888888888889,0.96,0.956521739130435,0.975,0.895833333333333,0.909090909090909,0.910714285714286,0.923076923076923,0.897959183673469,0.897435897435897,0.857142857142857,0.828571428571429,0.940677966101695,0.932038834951456,0.896551724137931,0.92,0.931034482758621,0.911764705882353,0.916666666666667,0.822222222222222,0.951219512195122,0.925,0.903225806451613,0.886363636363636,0.939393939393939,0.972972972972973,0.925925925925926,0.963855421686747,0.895348837209302,0.931818181818182,0.75,0.9,0.954545454545454,0.928571428571429,0.929411764705882,0.980392156862745,0.933333333333333,0.925531914893617,0.864864864864865,0.936842105263158,0.879310344827586,0.88235294117647,0.933333333333333,0.950819672131147,0.901960784313726,0.907692307692308,0.9,0.838709677419355,0.895833333333333,0.912280701754386,0.842105263157895,0.887096774193548,0.9,0.931034482758621,0.928571428571429,0.945945945945946,0.853658536585366,0.925925925925926
