taxon,samples_present,prevalence_pct,mean_abundance,mean_abundance_present,rank,common_75
Methylobacteriaceae,95,97.9381443298969,28.340228888473963,28.936865286126046,Family,TRUE
Pseudonocardiaceae,90,92.78350515463917,6.299150202339043,6.789084106965414,Family,TRUE
Pseudomonadaceae,89,91.75257731958763,10.352848836637115,11.283441990492136,Family,TRUE
Microbacteriaceae,85,87.62886597938144,2.598633752197425,2.9654996936841207,Family,TRUE
Nitrobacteraceae,84,86.5979381443299,8.103793671279757,9.357952215644483,Family,TRUE
Cytophagaceae,80,82.47422680412372,0.40612228016048213,0.4924232646945846,Family,TRUE
Rhizobiaceae,78,80.41237113402062,6.801462438972664,8.458228930517288,Family,TRUE
Roseomonadaceae,77,79.38144329896907,0.41004680262068605,0.516552465639046,Family,TRUE
Streptomycetaceae,68,70.10309278350516,0.8574454746213723,1.2231207505628396,Family,FALSE
Comamonadaceae,67,69.0721649484536,2.992775989701424,4.332824940314001,Family,FALSE
Geodermatophilaceae,67,69.0721649484536,0.8643879296144132,1.2514273010835535,Family,FALSE
Sphingomonadaceae,66,68.04123711340206,0.6372708292404154,0.9365950066109137,Family,FALSE
Polyangiaceae,63,64.94845360824742,0.6138261688723584,0.9450974346129963,Family,FALSE
Sphingobacteriaceae,62,63.91752577319588,1.1836136793984975,1.8517826919621656,Family,FALSE
Micromonosporaceae,59,60.824742268041234,1.972805149729682,3.2434254156572733,Family,FALSE
Nocardioidaceae,58,59.79381443298969,1.431075923260476,2.3933511130390728,Family,FALSE
Oxalobacteraceae,53,54.63917525773196,1.3868238338904888,2.5381492808939132,Family,FALSE
Caulobacteraceae,52,53.608247422680414,0.6721914417545928,1.2538955740422215,Family,FALSE
Kineosporiaceae,50,51.54639175257732,0.45014867648349366,0.8732884323779777,Family,FALSE
Sphaerotilaceae,47,48.45360824742268,0.4424699048606752,0.9131825696060745,Family,FALSE
Propionibacteriaceae,43,44.329896907216494,0.27519702127080065,0.6207932805411084,Family,FALSE
Hyphomicrobiales_unclassified,42,43.29896907216495,0.7683683930459936,1.7745650982252708,Family,FALSE
Isosphaeraceae,42,43.29896907216495,0.07362443397818666,0.17003738323533582,Family,FALSE
Mycobacteriaceae,41,42.2680412371134,0.49331418420681894,1.1671091675136933,Family,FALSE
Nocardiaceae,39,40.20618556701031,4.147672795255022,10.316006695890694,Family,FALSE
Gemmataceae,38,39.175257731958766,0.25775587504301517,0.6579557862940125,Family,FALSE
Conexibacteraceae,34,35.05154639175258,0.12748525474339323,0.3637079326502688,Family,FALSE
Solirubrobacteraceae,32,32.98969072164948,0.018952886681216797,0.05745093775243842,Family,FALSE
Micrococcaceae,31,31.95876288659794,0.5310675059931005,1.6617273574622813,Family,FALSE
Flavobacteriaceae,31,31.95876288659794,0.3047185689689018,0.9534742319349506,Family,FALSE
Aurantimonadaceae,31,31.95876288659794,0.046600724692320884,0.1458151708114557,Family,FALSE
FGB5329,30,30.927835051546392,1.5243679924209896,4.928789842161201,Family,FALSE
Rhodospirillales_unclassified,30,30.927835051546392,0.08138979210815542,0.26316032781636917,Family,FALSE
Azospirillaceae,29,29.896907216494846,0.06043257801769158,0.20213655405917527,Family,FALSE
Burkholderiales_unclassified,27,27.835051546391753,0.5048140691014504,1.8135912852903953,Family,FALSE
Micropepsaceae,25,25.77319587628866,0.05860123576271186,0.22737279475932204,Family,FALSE
Burkholderiaceae,24,24.742268041237114,0.21464742004332255,0.8675333226750952,Family,FALSE
