taxon,samples_present,prevalence_pct,mean_abundance,mean_abundance_present,rank,common_75
Hyphomicrobiales,96,98.96907216494846,44.522095884804045,44.98586771693742,Order,TRUE
Pseudonocardiales,90,92.78350515463917,6.2991501149855855,6.789084012817798,Order,TRUE
Pseudomonadales,89,91.75257731958763,10.356286706115961,11.28718888194661,Order,TRUE
Burkholderiales,88,90.72164948453609,5.549879964193742,6.117481324168102,Order,TRUE
Micrococcales,87,89.69072164948453,3.471017643813007,3.86998518907887,Order,TRUE
Cytophagales,83,85.56701030927834,0.6773804219098138,0.7916373605452042,Order,TRUE
Acetobacterales,78,80.41237113402062,0.4464821642866444,0.5552406402026219,Order,TRUE
Propionibacteriales,74,76.28865979381443,1.7202911980968334,2.254976300208011,Order,TRUE
Kitasatosporales,68,70.10309278350516,0.8574454652442233,1.2231207371866126,Order,FALSE
Geodermatophilales,67,69.0721649484536,0.8643879394842491,1.251427315372719,Order,FALSE
Sphingomonadales,66,68.04123711340206,0.6399510376986648,0.9405341008601591,Order,FALSE
Polyangiales,63,64.94845360824742,0.613826190631158,0.9450974681146401,Order,FALSE
Sphingobacteriales,62,63.91752577319588,1.1836137125697956,1.851782743859196,Order,FALSE
Mycobacteriales,60,61.855670103092784,4.640987118929267,7.502929175602316,Order,FALSE
Micromonosporales,59,60.824742268041234,1.9728051798473567,3.243425465172773,Order,FALSE
Solirubrobacterales,53,54.63917525773196,0.1530072177206501,0.28003207771515204,Order,FALSE
Caulobacterales,52,53.608247422680414,0.6721914329675295,1.2538955576509685,Order,FALSE
Rhodospirillales,52,53.608247422680414,0.15379659417356847,0.2868898006699258,Order,FALSE
Kineosporiales,50,51.54639175257732,0.4501486752842107,0.8732884300513689,Order,FALSE
Isosphaerales,42,43.29896907216495,0.07362443295844387,0.17003738088021564,Order,FALSE
Flavobacteriales,39,40.20618556701031,0.6299876281689005,1.5668923059585473,Order,FALSE
Gemmatales,38,39.175257731958766,0.25775587748857953,0.6579557925366372,Order,FALSE
OFGB5329,30,30.927835051546392,1.5243680700943087,4.928790093304933,Order,FALSE
Micropepsales,25,25.77319587628866,0.05860123709373254,0.22737279992368228,Order,FALSE
OFGB10042,21,21.649484536082475,0.2587674256117236,1.1952590611589136,Order,FALSE
Oscillatoriales,20,20.61855670103093,3.1609869464135927,15.330786690105924,Order,FALSE
Enterobacterales,19,19.587628865979383,0.7673192477740597,3.917366686004409,Order,FALSE
Lysobacterales,18,18.556701030927837,0.7509021168288215,4.0465280740219836,Order,FALSE
Myxococcales,18,18.556701030927837,0.6437994457512911,3.4693636798819583,Order,FALSE
Nitrosomonadales,11,11.34020618556701,0.015207938187680507,0.1341063640186372,Order,FALSE
Nostocales,10,10.309278350515465,0.03316484556097946,0.3216990019415007,Order,FALSE
Gaiellales,9,9.278350515463918,0.04579092774375341,0.49352444346045327,Order,FALSE
Gemmatimonadales,9,9.278350515463918,0.009240618650164971,0.09959333434066683,Order,FALSE
Nevskiales,8,8.24742268041237,0.016657112994072364,0.20196749505312736,Order,FALSE
OFGB52786,7,7.216494845360825,0.024715671004484633,0.34248858391928694,Order,FALSE
Bacillales,7,7.216494845360825,0.021887218371639372,0.3032943117212883,Order,FALSE
Betaproteobacteria_unclassified,7,7.216494845360825,0.016548248448010453,0.2293114427795735,Order,FALSE
Opitutales,7,7.216494845360825,0.01431258010018673,0.19833146710258767,Order,FALSE
Terriglobales,7,7.216494845360825,0.00104268051784538,0.014448572890143133,Order,FALSE
Acidimicrobiales,6,6.185567010309279,0.01652824615112396,0.26720664610983713,Order,FALSE
Nannocystales,5,5.154639175257732,0.20433731963082466,3.964144000838001,Order,FALSE
Rubrobacterales,5,5.154639175257732,0.02970588326097196,0.5762941352628563,Order,FALSE
Chitinophagales,5,5.154639175257732,0.0021069069031650254,0.04087399392140148,Order,FALSE
Streptosporangiales,4,4.123711340206185,0.039428661074928054,0.9561450310670063,Order,FALSE
Gomontiellales,4,4.123711340206185,0.013582473912154735,0.32937499236975226,Order,FALSE
Nitrososphaerales,4,4.123711340206185,0.011143403663856546,0.27022753884852124,Order,FALSE
OFGB80449,4,4.123711340206185,0.00494721675284539,0.11997000625650063,Order,FALSE
OFGB10236,4,4.123711340206185,0.002348659747340255,0.05695499887300116,Order,FALSE
Nakamurellales,4,4.123711340206185,0.0019862883846701743,0.04816749332825172,Order,FALSE
Moraxellales,3,3.0927835051546393,0.21571596199689846,6.974816104566388,Order,FALSE
