#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq_batch2/micro_IG079_R1.fastq.gz,output/micro_fastq_batch2/micro_IG079_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --skip_unclassified_estimation --mapout output/metaphlan_out_no_unclassified_batch2/IG079_map.bowtie2.bz2 --nproc 20
#35474366 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Pseudomonadota	2|1224	74.49847	
k__Bacteria|p__Bacteroidota	2|976	13.35217	
k__Bacteria|p__Actinomycetota	2|201174	9.02338	
k__Bacteria|p__Myxococcota	2|2818505	1.50212	
k__Bacteria|p__Firmicutes	2|1239	0.72101	
k__Bacteria|p__Bacteria_unclassified	2|	0.58709	
k__Bacteria|p__Planctomycetota	2|203682	0.27718	
k__Bacteria|p__Verrucomicrobiota	2|74201	0.03857	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	72.85506	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	13.32421	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	9.02338	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.39899	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	1.08508	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.72101	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.58709	
k__Bacteria|p__Myxococcota|c__Myxococcia	2|2818505|32015	0.41704	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.27718	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.24442	
k__Bacteria|p__Verrucomicrobiota|c__Opitutia	2|74201|414999	0.03857	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.02796	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	71.25377	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	13.32421	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	7.10961	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	1.53334	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	1.4488	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.09331	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales	2|2818505||3031712	1.08508	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.72101	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.58709	
