#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq_batch2/micro_IG021_R1.fastq.gz,output/micro_fastq_batch2/micro_IG021_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --skip_unclassified_estimation --mapout output/metaphlan_out_no_unclassified_batch2/IG021_map.bowtie2.bz2 --nproc 20
#46178332 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Pseudomonadota	2|1224	69.25956	
k__Bacteria|p__Actinomycetota	2|201174	26.60959	
k__Bacteria|p__Bacteroidota	2|976	1.99672	
k__Bacteria|p__Myxococcota	2|2818505	0.97986	
k__Bacteria|p__Planctomycetota	2|203682	0.63598	
k__Bacteria|p__Bacteria_unclassified	2|	0.25744	
k__Bacteria|p__Cyanobacteriota	2|1117	0.20451	
k__Bacteria|p__Thermomicrobiota	2|3027942	0.05634	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	68.0344	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	26.30683	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	1.2841	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.22515	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.97986	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.71262	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.63598	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.29072	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.25744	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	0.20451	
k__Bacteria|p__Thermomicrobiota|c__CFGB10236	2|3027942|	0.05634	
k__Bacteria|p__Actinomycetota|c__CFGB10042	2|201174|	0.01204	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	63.7289	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	15.95609	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	4.8788	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	2.86491	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	2|201174|1760|1643682	2.8111	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	2.05696	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	1.44059	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	1.2841	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.22515	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales	2|2818505||3031712	0.97986	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.71262	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Isosphaerales	2|203682|203683|2691356	0.63598	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.31475	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.29072	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.25744	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.24165	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales	2|1117|3028117|1161	0.20451	
k__Bacteria|p__Thermomicrobiota|c__CFGB10236|o__OFGB10236	2|3027942||	0.05634	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	2|201174|1760|85008	0.04748	
k__Bacteria|p__Actinomycetota|c__CFGB10042|o__OFGB10042	2|201174||	0.01204	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	2|1224|28211|356|119045	52.96394	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales|f__Pseudonocardiaceae	2|201174|1760|85010|2070	15.95609	
