#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq/micro_IG084_R1.fastq.gz,output/micro_fastq/micro_IG084_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --mapout output/metaphlan_out/IG084_map.bowtie2.bz2 --nproc 20
#41616396 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	98.7604909	
k__Bacteria	2	1.2395091	
k__Bacteria|p__Pseudomonadota	2|1224	0.9271874	
k__Bacteria|p__Actinomycetota	2|201174	0.1535736	
k__Bacteria|p__Bacteroidota	2|976	0.1115007	
k__Bacteria|p__Myxococcota	2|2818505	0.0242697	
k__Bacteria|p__Bacteria_unclassified	2|	0.0155743	
k__Bacteria|p__Planctomycetota	2|203682	0.0074034	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.6940385	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.2081057	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.1526841	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.0934529	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.0250431	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0242697	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.0180479	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0155743	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.0074034	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.0008894	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.3493851	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.3404831	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.1175657	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.1020365	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.0934529	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales	2|1224|1236|135614	0.0557469	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	0.0503224	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.0250431	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales	2|2818505||3031712	0.0242697	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kineosporiales	2|201174|1760|622452	0.019042	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.0180479	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.0155743	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Isosphaerales	2|203682|203683|2691356	0.0074034	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Motilibacterales	2|201174|1760|2793120	0.0070012	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	0.0041703	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	0.0038176	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	0.0037356	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.0015221	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.0008894	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	2|1224|28211|356|119045	0.3474596	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2|1224|28211|204458|76892	0.3404831	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	0.1175657	
