#mpa_vJan25_CHOCOPhlAnSGB_202503
#/opt/homebrew/Caskroom/miniconda/base/bin/metaphlan output/micro_fastq/micro_IG096_R1.fastq.gz,output/micro_fastq/micro_IG096_R2.fastq.gz --input_type fastq --mapout output/metaphlan_out/IG096_map.bowtie2.bz2 --nproc 8
#38509856 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	95.9482736	
k__Bacteria	2	4.0517264	
k__Bacteria|p__Pseudomonadota	2|1224	3.7635314	
k__Bacteria|p__Actinomycetota	2|201174	0.1770353	
k__Bacteria|p__Bacteroidota	2|976	0.0898502	
k__Bacteria|p__Bacteria_unclassified	2|	0.0202421	
k__Bacteria|p__Cyanobacteriota	2|1117	0.0007944	
k__Bacteria|p__Myxococcota	2|2818505	0.0002731	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	3.1515659	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.4468435	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.1734124	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.165122	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.0763091	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0202421	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.0110761	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.0036229	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.002465	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	0.0007944	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0002731	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	3.1455112	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.4468435	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.1019568	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.0763091	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.0744154	
