#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq_batch2/micro_IG031_R1.fastq.gz,output/micro_fastq_batch2/micro_IG031_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --mapout output/metaphlan_out_with_unclassified_batch2/IG031_map.bowtie2.bz2 --nproc 20
#47477069 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	92.9292897	
k__Bacteria	2	7.0707103	
k__Bacteria|p__Pseudomonadota	2|1224	5.7392531	
k__Bacteria|p__Actinomycetota	2|201174	0.8893091	
k__Bacteria|p__Bacteroidota	2|976	0.3892316	
k__Bacteria|p__Bacteria_unclassified	2|	0.0271873	
k__Bacteria|p__Myxococcota	2|2818505	0.0255816	
k__Bacteria|p__Planctomycetota	2|203682	0.0001476	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	3.1829956	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	2.4096791	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.8893091	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.3482261	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.1465784	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0271873	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.0261985	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0255816	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.0096548	
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	0.0051522	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.0001476	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	2.3506744	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	2.0682396	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales	2|1224|1236|135614	1.114756	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.640428	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.3482261	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.1465784	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.1294862	
