#mpa_vJan25_CHOCOPhlAnSGB_202503
#/opt/homebrew/Caskroom/miniconda/base/bin/metaphlan output/micro_fastq/micro_IG046_R1.fastq.gz,output/micro_fastq/micro_IG046_R2.fastq.gz --input_type fastq --mapout output/metaphlan_out/IG046_map.bowtie2.bz2 --nproc 8
#40284917 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	97.5704753	
k__Bacteria	2	2.4295247	
k__Bacteria|p__Actinomycetota	2|201174	1.3615837	
k__Bacteria|p__Pseudomonadota	2|1224	0.9299455	
k__Bacteria|p__Bacteria_unclassified	2|	0.1278451	
k__Bacteria|p__Bacteroidota	2|976	0.0068092	
k__Bacteria|p__Myxococcota	2|2818505	0.0032384	
k__Bacteria|p__Verrucomicrobiota	2|74201	0.0001029	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.3456848	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.7443893	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.1770621	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.1278451	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.0084941	
k__Bacteria|p__Actinomycetota|c__CFGB5329	2|201174|	0.0080418	
k__Bacteria|p__Actinomycetota|c__Acidimicrobiia	2|201174|84992	0.0078571	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.0068092	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0032384	
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	0.0001029	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	1.2887353	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.4868888	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.2381254	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.1689329	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.1278451	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	0.0271582	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	2|201174|1760|1643682	0.0175404	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.0123391	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.012251	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Nevskiales	2|1224|1236|1775403	0.0081292	
k__Bacteria|p__Actinomycetota|c__CFGB5329|o__OFGB5329	2|201174||	0.0080418	
k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	0.0078571	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.0068092	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.0063269	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.0061224	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales	2|2818505||3031712	0.0032384	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.0023717	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	0.0007091	
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales	2|74201|203494|48461	0.0001029	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	1.2887353	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	2|1224|28211|356|119045	0.4760049	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2|1224|28211|204458|76892	0.2381254	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	0.1689329	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2||||	0.1278451	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae	2|201174|1760|85011|2062	0.0271582	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales|f__Geodermatophilaceae	2|201174|1760|1643682|85030	0.0175404	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified	2|1224|28211|204441|	0.0123391	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	0.012251	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae	2|1224|28211|356|255475	0.0087675	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Nevskiales|f__Nevskiaceae	2|1224|1236|1775403|568386	0.0081292	
k__Bacteria|p__Actinomycetota|c__CFGB5329|o__OFGB5329|f__FGB5329	2|201174|||	0.0080418	
k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae	2|201174|84992|84993|633392	0.0078571	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Cytophagaceae	2|976|768503|768507|89373	0.0068092	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	2|1224|28211|204457|41297	0.0063269	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2|1224|28216|80840|80864	0.0061224	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales|f__Polyangiaceae	2|2818505||3031712|49	0.0032384	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified	2|1224|28216||	0.0023717	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylopilaceae	2|1224|28211|356|3149309	0.0016894	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Roseomonadaceae	2|1224|28211|3120395|3385906	0.0007091	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae	2|1224|28211|356|41294	0.0004271	
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Verrucomicrobiaceae	2|74201|203494|48461|203557	0.0001029	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae|g__Williamsia	2|201174|1760|85007|85025|85043	1.2887353	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium	2|1224|28211|356|119045|407	0.4760049	
