#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	IG011	IG012	IG013	IG014	IG015	IG016	IG017	IG018	IG019	IG020	IG021	IG022	IG023	IG024	IG025	IG026	IG027	IG028	IG029	IG030	IG031	IG033	IG034	IG035	IG036	IG037	IG038	IG039	IG040	IG041	IG042	IG044	IG045	IG046	IG047	IG048	IG049	IG051	IG052	IG054	IG055	IG056	IG057	IG058	IG059	IG060	IG061	IG062	IG063	IG064	IG065	IG066	IG067	IG068	IG069	IG070	IG072	IG073	IG074	IG075	IG076	IG077	IG078	IG079	IG080	IG081	IG082	IG083	IG084	IG085	IG087	IG089	IG090	IG091	IG092	IG093	IG094	IG095	IG096	IG099	IG101	IG102	IG103	IG104	IG105	IG106	IG107	IG108	IG110	IG111	IG112	IG113	IG114	IG116	IG118	IG119	IG120
UNCLASSIFIED	96.8859864	97.3010072	96.5321836	96.1878436	98.0843685	98.6702246	97.8388625	98.9731523	97.6441596	94.1189866	98.0767127	98.065813	95.8142498	98.1225084	97.3123952	98.4571368	97.1018413	97.5661205	97.9373248	95.3698825	92.9292897	96.3963768	96.8057176	95.1689652	97.5151204	97.1025194	98.913324	97.5734547	93.37401	96.3262576	97.0576336	97.0850019	96.9368325	97.5704753	97.5596436	98.3327746	97.5103098	95.5316652	91.7108167	95.7559201	94.5385678	87.246727	93.7713539	95.7173765	97.0262267	95.1864626	94.5424267	97.7311236	97.746782	97.0301153	98.1402551	97.5971235	96.0858709	98.1330477	98.489022	98.3453209	95.7153671	98.5917949	97.7689616	95.877542	93.2274454	98.5189161	95.4100022	96.4850394	96.7596706	93.6486674	97.8249401	95.7831609	98.7604909	98.0483113	96.816937	96.8680608	97.7479228	97.8123786	97.6175466	97.6134691	97.934527	98.0163795	95.9482736	97.5044337	97.6360377	96.0395458	98.4042676	97.8760073	95.2218385	98.454383	98.6905468	98.0467279	94.6773924	95.2097119	95.0027702	97.7623644	96.5791521	85.218421	95.7561926	98.179765	97.4000327
k__Bacteria	3.1140136	2.6989928	3.4678164	3.8121564	1.9156315	1.3297754	2.1611375	1.0268477	2.3558404	5.8810134	1.9232873	1.934187	4.1857502	1.8774916	2.6876048	1.5428632	2.8981587	2.4338795	2.0626752	4.6301175	7.0707103	3.6020429	3.1942824	4.8310348	2.4848796	2.8974806	1.086676	2.4265453	6.62599	3.6737424	2.929144	2.9149981	3.0631675	2.4295247	2.4403564	1.6672254	2.4645525	4.4683348	8.285805	4.2140808	5.4614322	12.716424	6.2286461	4.2826235	2.9737733	4.8058614	5.3904861	2.2688764	2.253218	2.9698847	1.8597449	2.4028765	3.9141291	1.8669523	1.510978	1.6546791	4.2522782	1.4082051	2.2310384	4.122458	6.7678188	1.4810839	4.5482118	3.5149606	3.2403294	6.3513326	2.1750599	4.2168391	1.2395091	1.9516887	3.183063	3.1319392	2.2520772	2.1876214	2.3824534	2.3865309	2.065473	1.9836205	4.0517264	2.4955663	2.3639623	3.9604542	1.5957324	2.1239927	4.7781615	1.545617	1.3094532	1.9532721	5.3226076	4.7902881	4.9972298	2.2376356	3.4208479	14.781579	4.2438074	1.820235	2.5999673
k__Bacteria|p__Actinomycetota	2.2556419	0.1950681	0.456654	1.3511863	0.6605537	0.1996517	0.834172	0.0140405	0.3033668	1.1820601	0.5117789	0.5049476	1.5835371	0.4318448	0.4448555	0.0258066	0.3280651	0.0872766	0.3936012	1.4137237	0.8893091	2.2205242	1.0087979	3.6909969	0.9596222	0.1492152	0.1056558	0.4408496	0.2637789	0.6276212	0.7884593	1.0643631	0.136988	1.3615837	1.8947125	0.0674589	0.787399	0.3592681	3.1756163	1.2903096	0.6415388	0.889986	2.4073312	2.3005012	0.3539521	1.0158017	0.5122415	0.5374923	0.3004303	1.9729565	0.1798628	0.8043297	0.7074773	0.8987914	0.3133234	0.1913775	0.6016045	0.3158882	0.8783762	0.4340632	1.0008071	0.2794981	0.4240308	0.3171682	0.6546957	3.9226645	0.7987343	1.6959057	0.1535736	0.2880221	0.2045647	1.4386468	0.451803	0.5500924	0.9155082	0.9688192	0.3743469	0.6808055	0.1770353	0.1403544	0.3875656	0.4760072	0.1273954	0.1853209	0.050631	0.1468681	0.0458014	0.097894	1.5827275	0.6596251	0.7205631	0.0895651	0.5547347	0.01276	0.0291712	0.512605	0.0436646
k__Bacteria|p__Pseudomonadota	0.8154428	2.2634083	2.7713338	1.2444592	1.2220571	1.0957416	1.1802337	0.220594	1.6523109	4.6030651	1.3320603	0.9836369	2.3457536	1.3980396	2.1142923	1.4803632	2.4665281	2.2626463	1.1727182	2.6270107	5.7392531	1.0985214	2.0943516	1.0292048	1.4244886	0.402434	0.9469337	1.7940982	6.0902264	2.851871	2.0728465	1.8394923	1.9786144	0.9299455	0.4824852	1.1921753	1.6317549	3.9795232	4.654063	2.7256773	4.4470125	11.716418	3.3030826	1.8440433	1.2654688	3.5076121	4.4243926	1.6676361	0.8143962	0.8613214	1.0169544	1.3195794	2.3190587	0.7424749	0.9825426	1.3348722	3.5073507	0.9931128	1.1660105	3.6448559	4.8739994	1.1638993	3.8541344	2.6185921	1.0634479	2.2302411	1.0280655	2.3181596	0.9271874	1.3625526	2.9478542	1.0071609	1.7760907	1.5322906	1.3893849	1.1091814	1.5994891	1.0997962	3.7635314	0.8808735	1.9566965	2.9716444	1.1822115	1.5572694	4.6090221	1.3739045	0.9594745	1.3188545	3.5301481	3.3717546	2.7201864	1.9973974	2.0107697	14.712018	4.209286	1.0745289	0.2194945
k__Bacteria|p__Bacteroidota	0.0295916	0.2323922	0.0128116	0.0084803	0.0	0.0321455	0.0739695	0.04727	0.005181	0.033025	0.0384027	0.0182605	0.1073697	0.016043	0.0167749	0.0134378	0.0589715	0.0292283	0.0570326	0.2940761	0.3892316	0.1167221	0.0422791	0.0420672	0.0298226	0.0673153	0.0182175	0.1415682	0.0955814	0.0401219	0.0025977	0.0111427	0.9429254	0.0068092	0.0072925	0.0042347	0.0295871	0.0408152	0.0787492	0.0440831	0.2150375	0.011524	0.3619222	0.0135014	0.0239964	0.062708	0.1527152	0.0334675	0.0620646	0.0871361	0.0192317	0.0043562	0.0	0.0151636	0.1849208	0.106273	0.0258606	0.0370757	0.1381207	0.0323729	0.1645121	0.0071929	0.0054301	0.4693235	0.2001099	0.0491064	0.0096575	0.0149088	0.1115007	0.2532756	0.0037135	0.0069131	0.0112137	0.0948645	0.0438117	0.0479998	0.017734	0.066819	0.0898502	0.0043835	0.0055858	0.0	0.0010613	0.0138759	0.101015	0.0248444	0.0200639	0.0002063	0.0830502	0.0365308	0.0026396	0.1440788	0.1236647	0.023384	0.0	0.1150993	0.0022518
k__Bacteria|p__Planctomycetota	0.0062627	0.0056752	0.0053912	0.0	0.0	0.0	0.0362351	0.0	0.0197842	0.0357043	0.0122318	0.0010393	0.0021996	0.0038428	0.0094492	0.0045376	0.0	0.0395004	0.0094988	0.0018169	0.0001476	0.0350056	0.0051102	0.0017782	0.013211	0.0036308	0.0	0.0297156	0.0	0.0529912	0.0005955	0.0	0.0004544	0.0	0.0043314	0.0	0.008214	0.0011429	0.0145966	0.0131079	0.0	0.0	0.1126407	0.0068622	0.0065193	0.0184455	0.0567331	0.0087173	0.0001	0.0262773	0.0001171	0.1248801	0.0	0.0198023	0.0244799	0.0186739	0.0001888	0.0020485	0.0	0.0110563	0.0015921	0.0060649	0.001493	0.0097427	0.00213	0.0	0.0019431	0.0012158	0.0074034	0.0168007	0.0034818	0.0	0.0014248	0.0	0.0	0.0050463	0.0	0.0237435	0.0	0.0015912	0.0	0.0	0.0118389	0.0146134	0.0	0.0	0.0	0.0	0.0	0.0	0.0102945	0.0008484	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.0040578	0.000617	0.2072423	0.0	0.0	0.0022366	0.0	0.7449432	0.1300834	0.0112268	0.0049513	0.3888615	0.1017977	0.0	0.08437	0.0187179	0.0422485	0.0152279	0.4298243	0.2796835	0.0271873	0.0021618	0.042098	0.0417214	0.0201297	0.0	0.0	0.0099721	0.1708709	0.0018333	0.0431442	0.0	0.0041853	0.1278451	0.0	0.4033565	0.0025949	0.0860342	0.2940768	0.0	0.0985056	0.011306	0.0146683	0.0	0.0	0.0	0.0045493	0.0215632	1.0739514	0.0	0.6435789	0.0567883	0.8875931	0.1633771	0.0057113	0.0	0.1062122	0.0142615	0.0041164	0.0	0.0412062	0.0244288	0.0005246	0.0206361	0.0252179	0.106632	0.0	0.1671228	0.0155743	0.0	0.0217757	0.668654	0.0065159	0.0	0.0337485	0.2177615	0.072251	0.0052843	0.0202421	1.4683636	0.0141143	0.1512429	0.0051606	0.2622239	0.0172654	0.0	0.2810064	0.4945194	0.1260692	0.6079693	0.0	0.0	0.1710372	0.0	0.0	0.0961931	0.0
k__Bacteria|p__Myxococcota	0.0030168	0.0	0.0078524	1.2070955	0.0330206	0.0	0.0365272	0.0	0.0048267	0.0049172	0.0188455	0.0374412	0.0441133	0.0122465	0.0113906	0.0	0.0023455	0.0	0.0	0.0104379	0.0255816	0.1291078	0.0	0.0252662	0.0371632	0.0095819	0.015869	0.0103415	0.0	0.0037759	0.0215007	0.0	0.0	0.0032384	0.0515348	0.0	0.0036892	0.0015512	0.0687031	0.0060131	0.0593378	0.0	0.0274661	0.0	0.0148032	0.0841476	0.0452015	0.0	6.8e-05	0.001484	0.0	0.0801598	0.0	0.0273429	0.0	0.0034826	0.0043165	0.0253672	0.0417414	0.0	0.0131662	0.0	0.0	0.052799	0.0343155	0.0	0.3075763	0.0173036	0.0242697	0.0310377	0.0	0.0105643	0.0050291	0.010374	0.0	0.0365314	0.0016519	0.0352138	0.0002731	0.0	0.0	0.0	0.0025574	0.0660684	0.0	0.0	0.003107	0.0417979	0.0006127	0.0071846	1.5435462	0.0	0.4301534	0.033417	0.0053502	0.0	0.000271
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2.2556419	0.1731422	0.3874011	1.3511863	0.6390334	0.1325135	0.7808159	0.0140405	0.3007441	1.1766078	0.505956	0.5038014	1.449923	0.2904833	0.3728547	0.0258066	0.3007665	0.0628285	0.3910548	1.3551887	0.8893091	1.9913066	1.0027677	3.6652646	0.9099762	0.1448957	0.08651	0.4035312	0.1221862	0.3789964	0.6920223	0.1372753	0.1353671	1.3456848	0.2720564	0.0504674	0.6790128	0.346026	3.1568141	1.1990052	0.6412162	0.669899	2.4021108	2.2460774	0.1735243	0.8877586	0.4654171	0.5058648	0.2859638	1.9531798	0.1798628	0.8029025	0.7074773	0.8987914	0.312516	0.1898292	0.4382984	0.3158882	0.8772889	0.1579977	0.9975664	0.2738526	0.423628	0.3171682	0.6546957	3.9226645	0.7931491	1.6746714	0.1526841	0.2878451	0.0742522	1.4363874	0.446854	0.5440159	0.9068084	0.9662596	0.3743469	0.6744048	0.1734124	0.1403544	0.3875656	0.4760072	0.1273954	0.1682682	0.0495567	0.1468681	0.0458014	0.0569114	1.4492017	0.6489037	0.7205631	0.0895651	0.5547347	0.01276	0.0291712	0.512605	0.0432245
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	0.6638503	2.1338851	2.5143969	1.2444592	0.8307221	0.7349137	0.9378432	0.1417959	1.5552703	2.4457816	1.308497	0.97306	0.9714422	1.2872939	1.7946838	1.4419638	0.895188	2.1108231	1.1629319	1.4203604	2.4096791	0.8706992	1.732197	0.5051896	1.3709633	0.3034384	0.9055748	1.2412727	1.1642716	0.9064906	1.5833324	1.5571279	1.0410013	0.7443893	0.2039245	1.1867577	1.1445588	3.4265109	3.3647135	2.5034312	2.2240198	0.730093	1.7264056	1.3324623	1.2582078	2.1382611	3.9802023	1.5572442	0.52831	0.5707708	0.9873311	1.1254887	2.0122352	0.6551054	0.8844535	1.2682552	1.0007306	0.4277984	0.6728618	1.1859332	3.294327	1.0146963	3.7332887	2.5608268	0.6476787	1.8891727	0.6878141	1.9326425	0.6940385	0.8500665	2.7710456	0.382219	1.069229	1.1637265	1.134634	0.9968121	1.5335855	1.0686787	3.1515659	0.7448617	1.572656	2.8075274	1.024569	1.1622519	1.9284795	1.1782334	0.8595528	1.1197154	2.6053331	2.8113243	1.4254375	0.8633016	1.8149559	0.39857	0.0	1.0689026	0.2194945
